vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
chrysalis-aot,auction_1-1,279488,280415,276127,281923,3007,3
chrysalis-aot,auction_1-2,925235,919730,912392,943583,16307,3
chrysalis-aot,auction_1-3,915435,917742,909253,919311,5411,3
chrysalis-aot,auction_1-4,318526,318129,317965,319484,833,3
chrysalis-aot,auction_2-1,268285,268580,267524,268751,664,3
chrysalis-aot,auction_2-2,914747,913668,911770,918803,3638,3
chrysalis-aot,auction_2-3,1122619,1123669,1120433,1123755,1893,3
chrysalis-aot,auction_2-4,934137,939686,922963,939761,9676,3
chrysalis-aot,auction_2-5,322185,319219,318011,329325,6213,3
chrysalis-aot,coop-1,275347,275329,275234,275478,122,3
chrysalis-aot,coop-2,831062,831568,828122,833496,2722,3
chrysalis-aot,coop-3,2676792,2670422,2665158,2694797,15813,3
chrysalis-aot,coop-4,1042741,1039194,1031402,1057629,13468,3
chrysalis-aot,coop-5,539562,536096,534408,548182,7512,3
chrysalis-aot,coop-6,722883,722599,722251,723801,813,3
chrysalis-aot,coop-7,375514,375585,374694,376264,787,3
chrysalis-aot,crowdfunding-success-1,314896,314853,314742,315092,178,3
chrysalis-aot,crowdfunding-success-2,320655,319166,318499,324301,3174,3
chrysalis-aot,crowdfunding-success-3,316177,315819,315646,317067,775,3
chrysalis-aot,currency-1,377937,376430,373736,383644,5122,3
chrysalis-aot,escrow-redeem_1-1,517559,517712,515091,519873,2395,3
chrysalis-aot,escrow-redeem_1-2,505713,507794,500881,508465,4198,3
chrysalis-aot,escrow-redeem_2-1,558795,558964,558262,559159,471,3
chrysalis-aot,escrow-redeem_2-2,562587,561926,561150,564685,1858,3
chrysalis-aot,escrow-redeem_2-3,557654,557258,556378,559328,1514,3
chrysalis-aot,escrow-refund-1,307437,307273,306931,308105,603,3
chrysalis-aot,future-increase-margin-1,377106,377460,375207,378652,1749,3
chrysalis-aot,future-increase-margin-2,712371,716394,702889,717831,8243,3
chrysalis-aot,future-increase-margin-3,703295,704039,701533,704313,1532,3
chrysalis-aot,future-increase-margin-4,834059,837389,818678,846109,14015,3
chrysalis-aot,future-increase-margin-5,1201212,1196766,1194061,1212808,10133,3
chrysalis-aot,future-pay-out-1,380524,379210,376849,385513,4478,3
chrysalis-aot,future-pay-out-2,704538,705984,694879,712751,9023,3
chrysalis-aot,future-pay-out-3,712928,709079,705896,723808,9556,3
chrysalis-aot,future-pay-out-4,1188587,1172440,1171188,1222133,29058,3
chrysalis-aot,future-settle-early-1,389036,389229,388523,389358,449,3
chrysalis-aot,future-settle-early-2,699651,699908,697350,701696,2184,3
chrysalis-aot,future-settle-early-3,702780,697835,697098,713407,9210,3
chrysalis-aot,future-settle-early-4,950409,950465,949773,950988,609,3
chrysalis-aot,game-sm-success_1-1,637574,642435,627791,642495,8472,3
chrysalis-aot,game-sm-success_1-2,275587,274066,273419,279277,3211,3
chrysalis-aot,game-sm-success_1-3,905899,905259,904582,907857,1728,3
chrysalis-aot,game-sm-success_1-4,315520,314935,312540,319085,3311,3
chrysalis-aot,game-sm-success_2-1,630908,630134,629228,633362,2172,3
chrysalis-aot,game-sm-success_2-2,273103,273222,272507,273579,545,3
chrysalis-aot,game-sm-success_2-3,927184,927046,926816,927690,452,3
chrysalis-aot,game-sm-success_2-4,310417,306621,306446,318184,6726,3
chrysalis-aot,game-sm-success_2-5,902347,900394,899624,907023,4067,3
chrysalis-aot,game-sm-success_2-6,313624,313367,313303,314202,501,3
chrysalis-aot,guardrail-sorted-large,540635,536048,535897,549961,8076,3
chrysalis-aot,guardrail-sorted-small,147621,146893,145868,150101,2208,3
chrysalis-aot,guardrail-unsorted-large,710780,710260,709337,712744,1762,3
chrysalis-aot,guardrail-unsorted-small,148661,148223,144064,153697,4831,3
chrysalis-aot,multisig-sm-01,686883,691721,675823,693106,9603,3
chrysalis-aot,multisig-sm-02,663040,663691,660815,664614,1981,3
