Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
auction_1-1,8.768659439317627e-5,8.728323027900505e-5,8.818606987816873e-5,1.952395602116628e-6,1.5488090253656858e-6,2.955705845327638e-6
auction_1-2,3.258905194087439e-4,3.244064669880248e-4,3.2733851208073913e-4,6.483491795089452e-6,5.54378729215737e-6,7.657485915670317e-6
auction_1-3,3.1067653611770087e-4,3.096577799553539e-4,3.11761773478075e-4,4.5638666268415835e-6,3.921607432529082e-6,5.421441804375463e-6
auction_1-4,1.14597130666405e-4,1.1429279513124712e-4,1.149693779746396e-4,1.5271489830643013e-6,1.0735542259051024e-6,2.2355255392463227e-6
auction_2-1,8.650844740607185e-5,8.616252246778732e-5,8.687172067938386e-5,1.5475441306908759e-6,1.3298237880899406e-6,1.8074883512493136e-6
auction_2-2,3.282873608005486e-4,3.2712196446186447e-4,3.2937254800576433e-4,4.7844622137547704e-6,4.047066303716851e-6,5.502584368015147e-6
auction_2-3,4.178892576847712e-4,4.1666888309617467e-4,4.1941108266839444e-4,5.9187162193525676e-6,4.580071516853056e-6,8.966870818115578e-6
auction_2-4,3.146056354312593e-4,3.1379395209170055e-4,3.155257359216408e-4,3.672012498232328e-6,2.9477985215054762e-6,4.521466286226555e-6
auction_2-5,1.0825160380119497e-4,1.0791364389533601e-4,1.0867585640729901e-4,1.5393439450137623e-6,1.3397337061923662e-6,1.7163036316648397e-6
coop-1,1.1261693710403717e-4,1.1235202255964505e-4,1.129216457533116e-4,1.2070190706142916e-6,1.011926103880966e-6,1.6823515592903844e-6
coop-2,3.6676534542810324e-4,3.654025069492722e-4,3.68498084670744e-4,6.548717495402292e-6,5.683387430052989e-6,7.794145398216892e-6
coop-3,1.0960228891370744e-3,1.0901064432786503e-3,1.1015105544942745e-3,2.4230406643167364e-5,2.1245822042740882e-5,2.707237563195446e-5
coop-4,4.847917142959141e-4,4.835855052255407e-4,4.857676241367777e-4,4.725018372412589e-6,3.94235335846767e-6,5.751359474947053e-6
coop-5,2.0360280629376325e-4,2.0221986059315266e-4,2.0579653932106454e-4,7.403558219435461e-6,4.63886144350152e-6,1.0844675360703856e-5
coop-6,3.325646842773073e-4,3.3199833195095724e-4,3.33534092748834e-4,3.213355701938912e-6,2.055542376251791e-6,5.606968467091906e-6
coop-7,1.5586786336234913e-4,1.553076945303655e-4,1.5653261126715264e-4,2.5874045340123965e-6,2.299917753806612e-6,3.1898334765414114e-6
crowdfunding-success-1,1.0405471436805305e-4,1.0366959558353046e-4,1.0468342413580075e-4,2.123930185459765e-6,1.2229111493870935e-6,3.830294357289306e-6
crowdfunding-success-2,1.0398841309190855e-4,1.0364267258753743e-4,1.0449487003932348e-4,1.7875549910183973e-6,1.2914497306428673e-6,2.9234723927834236e-6
crowdfunding-success-3,1.0166727842172682e-4,1.0145264647915285e-4,1.022048819009997e-4,1.3796087841063354e-6,6.775201335779368e-7,2.7776093894413363e-6
currency-1,1.2317587163242512e-4,1.2284037964454983e-4,1.2354268949155538e-4,1.4919099601256489e-6,1.2702603437334998e-6,1.8179760793194584e-6
escrow-redeem_1-1,1.783652114040796e-4,1.777917837019078e-4,1.7892064253364776e-4,2.5195794028575904e-6,2.2343977907474303e-6,2.8421534040307414e-6
escrow-redeem_1-2,1.7444431886898119e-4,1.7361020864210247e-4,1.7527126591856924e-4,3.519000411192971e-6,3.1581723410639536e-6,4.021417738883455e-6
escrow-redeem_2-1,2.0125245907495689e-4,2.0054468190077717e-4,2.02055062786346e-4,3.1529679093252535e-6,2.6531873521296495e-6,3.998620635643839e-6
escrow-redeem_2-2,2.0565185917645104e-4,2.039740926580915e-4,2.0938767160343623e-4,9.871214269228471e-6,4.223920035202382e-6,1.6774683014859872e-5
escrow-redeem_2-3,2.0742155431976913e-4,2.0555551182430403e-4,2.104778176191685e-4,1.0170629365974576e-5,8.188184060331606e-6,1.3945119005586918e-5
escrow-refund-1,8.062113097355542e-5,7.871152493336541e-5,8.468344717665156e-5,1.1802193975911585e-5,7.845618893605396e-6,1.833347542628875e-5
future-increase-margin-1,1.2621408990322777e-4,1.2487733116475454e-4,1.285686913370607e-4,7.680070613801283e-6,4.879189300639935e-6,1.1403810527922934e-5
future-increase-margin-2,2.6425735850747176e-4,2.628719889482359e-4,2.675192970628408e-4,8.691354245011279e-6,5.247327286600622e-6,1.5131315113204466e-5
future-increase-margin-3,3.07545857115832e-4,3.0061644789652474e-4,3.152941894223546e-4,3.2480323856008865e-5,2.9197415975028937e-5,3.834066343463827e-5
future-increase-margin-4,2.767476708787056e-4,2.6659310970543275e-4,2.923149933041365e-4,5.114384239934128e-5,3.518583873438132e-5,6.634292244378688e-5
future-increase-margin-5,4.971636038158133e-4,4.8567672833009414e-4,5.086399228767373e-4,5.13004178496114e-5,4.328238628259333e-5,6.34212044274907e-5
future-pay-out-1,1.398283098032535e-4,1.35812247587983e-4,1.445449124173133e-4,1.97757477161719e-5,1.496556902563208e-5,2.6031836004416422e-5
future-pay-out-2,2.747552170089663e-4,2.7216710824287064e-4,2.7932919434250897e-4,1.5187176657175874e-5,9.754755224584874e-6,2.4643084110920185e-5
future-pay-out-3,2.886279859280491e-4,2.817347165360379e-4,3.010159451648042e-4,4.039912266754061e-5,2.5276711311450117e-5,5.848321710815229e-5
future-pay-out-4,4.43424402529935e-4,4.366907671006986e-4,4.5607797014328904e-4,3.8840454930532814e-5,2.4959648592828865e-5,6.11251270026223e-5
future-settle-early-1,1.407503093805589e-4,1.3777423169227066e-4,1.4455110017627104e-4,1.4930355190746469e-5,1.2890006113744238e-5,1.8725032106603306e-5
future-settle-early-2,2.7391453743287066e-4,2.717623870896175e-4,2.764377871512632e-4,9.637064367985959e-6,8.094637366812622e-6,1.1710415285341542e-5
future-settle-early-3,2.668129612757908e-4,2.6506133091956093e-4,2.6849590516970297e-4,7.640208818383176e-6,6.953434151555504e-6,8.39497408971749e-6
future-settle-early-4,3.4114261241495616e-4,3.3585773019659314e-4,3.5335516055062924e-4,3.236433065443241e-5,1.768267831730786e-5,5.9797090062917895e-5
game-sm-success_1-1,2.223822377154932e-4,2.1556109606940953e-4,2.3735572241009696e-4,4.106358859765674e-5,2.093203278110832e-5,8.080901446844953e-5
game-sm-success_1-2,1.0394453349599402e-4,1.0125758211738494e-4,1.0745605006987581e-4,1.276568413625311e-5,1.0096221674833466e-5,1.631059145763715e-5
game-sm-success_1-3,3.599391453099167e-4,3.516004937516903e-4,3.6948500446984855e-4,3.984599913058813e-5,3.2079272990625835e-5,4.73842237187309e-5
game-sm-success_1-4,1.1638112308931996e-4,1.1528425600178192e-4,1.1823383808856254e-4,6.20575080572352e-6,4.0895298264277186e-6,1.0504011958391923e-5
game-sm-success_2-1,2.003030844020558e-4,1.9903726410698083e-4,2.0195915504945416e-4,5.898424438728677e-6,4.636465236447745e-6,7.512597329552145e-6
game-sm-success_2-2,9.741029398859144e-5,9.710704644443622e-5,9.769093829505184e-5,1.2794745097090436e-6,1.112106354631097e-6,1.446086689792645e-6
game-sm-success_2-3,3.2210731760816354e-4,3.1970361337398817e-4,3.2665856256308473e-4,1.3890277769851893e-5,7.576874664131016e-6,2.4915333788348806e-5
game-sm-success_2-4,1.1057560127418453e-4,1.101612983840464e-4,1.1182828627810804e-4,2.7832833834746536e-6,1.2341695072386348e-6,5.537438861153267e-6
game-sm-success_2-5,3.1331359688223045e-4,3.126579573006572e-4,3.150823182844292e-4,4.225044875423674e-6,2.080243751454222e-6,7.915536196386236e-6
game-sm-success_2-6,1.1224873961679638e-4,1.1152278930788018e-4,1.1333913507867219e-4,3.6824122763747623e-6,2.4742075920751974e-6,6.590327213114436e-6
guardrail-sorted-large,2.1603568361230384e-4,2.1528834732201737e-4,2.1703106508410544e-4,3.742140125009167e-6,3.018747788399852e-6,5.441007289418784e-6
guardrail-sorted-small,3.296137182126486e-5,3.2898674542772126e-5,3.302933552903157e-5,2.817169502699502e-7,2.2706136723466307e-7,3.4772577993023264e-7
guardrail-unsorted-large,2.945106494533579e-4,2.931867529688963e-4,2.9635206498040284e-4,6.436119421284503e-6,5.078122515398866e-6,8.45961122294551e-6
guardrail-unsorted-small,3.28047082811916e-5,3.270617478445059e-5,3.292120296820429e-5,4.542306647543024e-7,3.7030763535841075e-7,6.197415295352286e-7
multisig-sm-01,2.0338021561117962e-4,2.024502288870349e-4,2.0497957715788406e-4,5.2739653702328275e-6,3.3904260885044636e-6,9.78407957434441e-6
multisig-sm-02,2.457914545580388e-4,2.377193551849254e-4,2.5461705494919076e-4,3.947577796026809e-5,3.617691868663963e-5,4.324876778801901e-5
multisig-sm-03,2.00341306676512e-4,1.9984382439899553e-4,2.0147991073884088e-4,3.0216158564879947e-6,1.586574395177537e-6,5.727123297094198e-6
multisig-sm-04,2.0149222830723103e-4,2.006380582092474e-4,2.0257075756604335e-4,4.428735592964739e-6,3.714969287809821e-6,5.450274055791654e-6
multisig-sm-05,2.8835510544208195e-4,2.864266977339502e-4,2.903516132890336e-4,8.70138114209648e-6,7.18419651568309e-6,1.0888633440560225e-5
multisig-sm-06,2.0733592039138136e-4,2.0654243064854966e-4,2.0827049119999413e-4,3.90213525764617e-6,3.5773195945083275e-6,4.183519834363696e-6
multisig-sm-07,2.0393987234723466e-4,2.0274592318502005e-4,2.0557487106061348e-4,6.167353509476269e-6,4.846519448615005e-6,7.592948904529569e-6
