vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
opshin,auction_1-1,91640000,91640000,88140000,109340000,5010000,22
opshin,auction_1-2,342190000,342190000,335650000,360800000,8780000,20
opshin,auction_1-3,338620000,338620000,329390000,358550000,9340000,20
opshin,auction_1-4,109810000,109810000,107040000,126220000,5450000,20
opshin,auction_2-1,89420000,89420000,87370000,105470000,4740000,23
opshin,auction_2-2,334330000,334330000,323910000,349910000,10240000,20
opshin,auction_2-3,428520000,428520000,417780000,447070000,9220000,20
opshin,auction_2-4,343850000,343850000,324090000,390660000,17010000,20
opshin,auction_2-5,108260000,108260000,105380000,123920000,5110000,20
opshin,coop-1,14690000,14690000,12780000,30310000,3850000,137
opshin,coop-2,35300000,35300000,31190000,51430000,6220000,57
opshin,coop-3,35240000,35240000,30620000,53010000,6500000,57
opshin,coop-4,39740000,39740000,34310000,55760000,6870000,51
opshin,coop-5,38240000,38240000,33229999,53860000,6500000,53
opshin,coop-6,17970000,17970000,15940000,33840000,4290000,112
opshin,coop-7,17270000,17270000,15160000,33130000,4190000,116
opshin,crowdfunding-success-1,109950000,109950000,106030000,128699999,7030000,20
opshin,crowdfunding-success-2,113070000,113070000,109160000,129820000,6250000,20
opshin,crowdfunding-success-3,110110000,110110000,106550000,125840000,5210000,20
opshin,currency-1,134880000,134880000,131240000,149060000,5710000,20
opshin,escrow-redeem_1-1,179490000,179490000,174180000,196040000,7840000,20
opshin,escrow-redeem_1-2,182200000,182200000,175500000,199020000,7620000,20
opshin,escrow-redeem_2-1,210100000,210100000,204740000,227510000,8010000,20
opshin,escrow-redeem_2-2,210870000,210870000,203820000,225530000,7880000,20
opshin,escrow-redeem_2-3,209530000,209530000,204160000,225970000,7320000,20
opshin,escrow-refund-1,100810000,100810000,96820000,117590000,6680000,20
opshin,future-increase-margin-1,140490000,140490000,136480000,156050000,5910000,20
opshin,future-increase-margin-2,268710000,268710000,258870000,297680000,9610000,20
opshin,future-increase-margin-3,263510000,263510000,257269999,281220000,7820000,20
opshin,future-pay-out-1,134940000,134940000,132199999,152020000,5480000,20
opshin,future-pay-out-2,267480000,267480000,258230000,284250000,7680000,20
opshin,future-pay-out-3,266550000,266550000,259380000,284260000,6860000,20
opshin,future-settle-early-1,134820000,134820000,130830000,150500000,6540000,20
opshin,future-settle-early-2,263740000,263740000,256100000,279460000,6760000,20
opshin,future-settle-early-3,268200000,268200000,263120000,284030000,7770000,20
opshin,game-sm-success_1-1,220460000,220460000,210210000,239290000,9380000,20
opshin,game-sm-success_1-2,98390000,98390000,95010000,113350000,6030000,21
opshin,game-sm-success_1-3,326140000,326140000,316230000,342080000,9290000,20
opshin,game-sm-success_1-4,108500000,108500000,104980000,124540000,5350000,20
opshin,game-sm-success_2-1,219880000,219880000,211770000,234490000,8320000,20
opshin,game-sm-success_2-2,97330000,97330000,93830000,113310000,5390000,21
opshin,game-sm-success_2-3,332620000,332620000,322390000,348990000,8670000,20
opshin,game-sm-success_2-4,108700000,108700000,106580000,125540000,4000000,20
opshin,game-sm-success_2-5,331150000,331150000,320330000,347360000,8369999,20
opshin,game-sm-success_2-6,107570000,107570000,104700000,123380000,5290000,20
opshin,guardrail-sorted-large,19630000,19630000,17630000,34670000,4150000,103
opshin,guardrail-sorted-small,15350000,15350000,13550000,30570000,4030000,131
opshin,guardrail-unsorted-large,19690000,19690000,17550000,35370000,4440000,102
opshin,guardrail-unsorted-small,15630000,15630000,13720000,31410000,4080000,128
opshin,ping-pong-1,194660000,194660000,187740000,209420000,8090000,20
opshin,ping-pong-2,194590000,194590000,187760000,210410000,8240000,20
opshin,ping-pong_2-1,141050000,141050000,133020000,157870000,8400000,20
opshin,prism-1,85310000,85310000,81590000,102180000,5830000,24
opshin,prism-2,228790000,228790000,218490000,248450000,9870000,20
opshin,prism-3,178020000,178020000,173910000,193240000,6280000,20
opshin,pubkey-1,72740000,72740000,70360000,88110000,5080000,28
opshin,stablecoin_1-2,94270000,94270000,91870000,110290000,4930000,22
opshin,stablecoin_1-4,99770000,99770000,96370000,117410000,5380000,21
opshin,stablecoin_1-6,122160000,122160000,115580000,143180000,6130000,20
opshin,stablecoin_2-2,96440000,96440000,93330000,111830000,5220000,21
opshin,stablecoin_2-4,103320000,103320000,99100000,121840000,5730000,20
opshin,token-account-1,109580000,109580000,106130000,127470000,5700000,20
opshin,token-account-2,170270000,170270000,166230000,189270000,6090000,20
opshin,uniswap-1,218830000,218830000,212210000,235490000,6890000,20
opshin,uniswap-2,121500000,121500000,117560000,137490000,6470000,20
opshin,uniswap-3,757840000,757840000,733300000,781810000,13650000,20
opshin,uniswap-4,147940000,147940000,142960000,164710000,5130000,20
opshin,uniswap-5,516950000,516950000,498060000,550410000,12490000,20
opshin,uniswap-6,145850000,145850000,141970000,163090000,6560000,20
opshin,vesting-1,187120000,187120000,181360000,202410000,7760000,20
opshin,future-increase-margin-4,-1,-1,-1,-1,-1,0
opshin,future-increase-margin-5,-1,-1,-1,-1,-1,0
opshin,future-pay-out-4,-1,-1,-1,-1,-1,0
opshin,future-settle-early-4,-1,-1,-1,-1,-1,0
opshin,multisig-sm-01,-1,-1,-1,-1,-1,0
opshin,multisig-sm-02,-1,-1,-1,-1,-1,0
opshin,multisig-sm-03,-1,-1,-1,-1,-1,0
opshin,multisig-sm-04,-1,-1,-1,-1,-1,0
opshin,multisig-sm-05,-1,-1,-1,-1,-1,0
opshin,multisig-sm-06,-1,-1,-1,-1,-1,0
opshin,multisig-sm-07,-1,-1,-1,-1,-1,0
opshin,multisig-sm-08,-1,-1,-1,-1,-1,0
opshin,multisig-sm-09,-1,-1,-1,-1,-1,0
opshin,multisig-sm-10,-1,-1,-1,-1,-1,0
opshin,stablecoin_1-1,-1,-1,-1,-1,-1,0
opshin,stablecoin_1-3,-1,-1,-1,-1,-1,0
opshin,stablecoin_1-5,-1,-1,-1,-1,-1,0
opshin,stablecoin_2-1,-1,-1,-1,-1,-1,0
opshin,stablecoin_2-3,-1,-1,-1,-1,-1,0
