vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
plutigo,auction_1-1,1119138,1119138,0,0,0,5108
plutigo,auction_1-2,3643605,3643605,0,0,0,1635
plutigo,auction_1-3,3638163,3638163,0,0,0,1648
plutigo,auction_1-4,1392090,1392090,0,0,0,4296
plutigo,auction_2-1,1121960,1121960,0,0,0,5376
plutigo,auction_2-2,3664241,3664241,0,0,0,1642
plutigo,auction_2-3,4718343,4718343,0,0,0,1279
plutigo,auction_2-4,3717409,3717409,0,0,0,1605
plutigo,auction_2-5,1393531,1393531,0,0,0,4262
plutigo,coop-1,1480522,1480522,0,0,0,4137
plutigo,coop-2,4461565,4461565,0,0,0,1334
plutigo,coop-3,12090794,12090794,0,0,0,496
plutigo,coop-4,5188319,5188319,0,0,0,1155
plutigo,coop-5,2524628,2524628,0,0,0,2361
plutigo,coop-6,4117046,4117046,0,0,0,1452
plutigo,coop-7,2094922,2094922,0,0,0,2890
plutigo,crowdfunding-success-1,1310344,1310344,0,0,0,4570
plutigo,crowdfunding-success-2,1300376,1300376,0,0,0,4581
plutigo,crowdfunding-success-3,1308937,1308937,0,0,0,4567
plutigo,currency-1,1523522,1523522,0,0,0,3973
plutigo,escrow-redeem_1-1,2096890,2096890,0,0,0,2854
plutigo,escrow-redeem_1-2,2069423,2069423,0,0,0,2884
plutigo,escrow-redeem_2-1,2379413,2379413,0,0,0,2540
plutigo,escrow-redeem_2-2,2396885,2396885,0,0,0,2530
plutigo,escrow-redeem_2-3,2423037,2423037,0,0,0,2467
plutigo,escrow-refund-1,1077805,1077805,0,0,0,5502
plutigo,future-increase-margin-1,1516901,1516901,0,0,0,3960
plutigo,future-increase-margin-2,3106695,3106695,0,0,0,1952
plutigo,future-increase-margin-3,3103086,3103086,0,0,0,1929
plutigo,future-increase-margin-4,3023719,3023719,0,0,0,1986
plutigo,future-increase-margin-5,4459178,4459178,0,0,0,1333
plutigo,future-pay-out-1,1500845,1500845,0,0,0,3963
plutigo,future-pay-out-2,3082100,3082100,0,0,0,1945
plutigo,future-pay-out-3,3085510,3085510,0,0,0,1935
plutigo,future-pay-out-4,4480827,4480827,0,0,0,1359
plutigo,future-settle-early-1,1522836,1522836,0,0,0,3907
plutigo,future-settle-early-2,3116971,3116971,0,0,0,1902
plutigo,future-settle-early-3,3101166,3101166,0,0,0,1974
plutigo,future-settle-early-4,3402202,3402202,0,0,0,1777
plutigo,game-sm-success_1-1,2398500,2398500,0,0,0,2493
plutigo,game-sm-success_1-2,1216277,1216277,0,0,0,4903
plutigo,game-sm-success_1-3,3711637,3711637,0,0,0,1627
plutigo,game-sm-success_1-4,1401546,1401546,0,0,0,4333
plutigo,game-sm-success_2-1,2385756,2385756,0,0,0,2503
plutigo,game-sm-success_2-2,1225699,1225699,0,0,0,4920
plutigo,game-sm-success_2-3,3717581,3717581,0,0,0,1597
plutigo,game-sm-success_2-4,1390867,1390867,0,0,0,4375
plutigo,game-sm-success_2-5,3755305,3755305,0,0,0,1581
plutigo,game-sm-success_2-6,1416983,1416983,0,0,0,4231
plutigo,guardrail-sorted-large,2847226,2847226,0,0,0,2110
plutigo,guardrail-sorted-small,476360,476360,0,0,0,12582
plutigo,guardrail-unsorted-large,3686838,3686838,0,0,0,1630
plutigo,guardrail-unsorted-small,465949,465949,0,0,0,12896
plutigo,multisig-sm-01,2482359,2482359,0,0,0,2428
plutigo,multisig-sm-02,2440125,2440125,0,0,0,2464
plutigo,multisig-sm-03,2458416,2458416,0,0,0,2430
plutigo,multisig-sm-04,2442631,2442631,0,0,0,2463
plutigo,multisig-sm-05,3301846,3301846,0,0,0,1837
plutigo,multisig-sm-06,2473777,2473777,0,0,0,2412
plutigo,multisig-sm-07,2477790,2477790,0,0,0,2472
plutigo,multisig-sm-08,2469796,2469796,0,0,0,2283
plutigo,multisig-sm-09,2468007,2468007,0,0,0,2386
plutigo,multisig-sm-10,3277221,3277221,0,0,0,1842
plutigo,ping-pong-1,2074025,2074025,0,0,0,2919
plutigo,ping-pong-2,2084583,2084583,0,0,0,2918
plutigo,ping-pong_2-1,1444054,1444054,0,0,0,4197
plutigo,prism-1,1029348,1029348,0,0,0,5913
plutigo,prism-2,2544821,2544821,0,0,0,2346
plutigo,prism-3,2157470,2157470,0,0,0,2782
plutigo,pubkey-1,918317,918317,0,0,0,6580
plutigo,stablecoin_1-1,4685902,4685902,0,0,0,1279
plutigo,stablecoin_1-2,1223259,1223259,0,0,0,4699
plutigo,stablecoin_1-3,5208976,5208976,0,0,0,1152
plutigo,stablecoin_1-4,1269799,1269799,0,0,0,4716
plutigo,stablecoin_1-5,6658504,6658504,0,0,0,903
plutigo,stablecoin_1-6,1558107,1558107,0,0,0,3897
plutigo,stablecoin_2-1,4603673,4603673,0,0,0,1302
plutigo,stablecoin_2-2,1213076,1213076,0,0,0,4971
plutigo,stablecoin_2-3,5250559,5250559,0,0,0,1147
plutigo,stablecoin_2-4,1288406,1288406,0,0,0,4718
plutigo,token-account-1,1190012,1190012,0,0,0,4969
plutigo,token-account-2,2014398,2014398,0,0,0,3032
plutigo,uniswap-1,2487533,2487533,0,0,0,2433
plutigo,uniswap-2,1403053,1403053,0,0,0,4254
plutigo,uniswap-3,8965869,8965869,0,0,0,670
plutigo,uniswap-4,2009969,2009969,0,0,0,2961
plutigo,uniswap-5,6069872,6069872,0,0,0,984
plutigo,uniswap-6,1914209,1914209,0,0,0,3154
plutigo,vesting-1,2092098,2092098,0,0,0,2846
