vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
plutuz,auction_1-1,199263,193415,188644,363695,12954,10000
plutuz,auction_1-2,627203,622175,591883,1185128,22300,7972
plutuz,auction_1-3,617117,613690,589909,4632592,48259,8103
plutuz,auction_1-4,234807,230138,224364,558830,11184,10000
plutuz,auction_2-1,200534,195516,190675,422586,11219,10000
plutuz,auction_2-2,638453,641567,597994,1110293,24028,7832
plutuz,auction_2-3,754404,753987,709047,1636166,30224,6628
plutuz,auction_2-4,616125,611965,588257,774411,18423,8116
plutuz,auction_2-5,233896,228954,223979,4527967,44041,10000
plutuz,coop-1,195641,191466,187091,481135,9778,10000
plutuz,coop-2,573697,569080,547802,2884819,33392,8716
plutuz,coop-3,1427003,1420493,1374924,5497820,78544,3504
plutuz,coop-4,695016,691170,655185,6271041,69313,7195
plutuz,coop-5,368617,363892,348604,653846,15955,10000
plutuz,coop-6,499279,496228,475645,1064573,16631,10000
plutuz,coop-7,269241,264352,257583,913346,12416,10000
plutuz,crowdfunding-success-1,236282,230192,223183,4571438,45325,10000
plutuz,crowdfunding-success-2,236916,229602,222156,3462039,35682,10000
plutuz,crowdfunding-success-3,232913,227984,221600,901024,13259,10000
plutuz,currency-1,258778,253005,247132,356873,11835,10000
plutuz,escrow-redeem_1-1,352183,347348,334910,967635,15669,10000
plutuz,escrow-redeem_1-2,356245,350698,334296,2333475,28348,10000
plutuz,escrow-redeem_2-1,388323,383307,367829,3096125,32585,10000
plutuz,escrow-redeem_2-2,388819,383448,367301,1446604,21369,10000
plutuz,escrow-redeem_2-3,390791,383912,366589,3037284,33515,10000
plutuz,escrow-refund-1,227333,221597,215978,1927282,21555,10000
plutuz,future-increase-margin-1,257126,251435,245025,388856,11996,10000
plutuz,future-increase-margin-2,466242,463614,446185,650231,14957,10000
plutuz,future-increase-margin-3,470904,467045,447589,1168237,18977,10000
plutuz,future-increase-margin-4,593245,585154,549520,1162098,27605,8429
plutuz,future-increase-margin-5,856696,851220,803590,2503530,40853,5837
plutuz,future-pay-out-1,257435,250872,243241,414594,15032,10000
plutuz,future-pay-out-2,462786,459875,440748,889268,15344,10000
plutuz,future-pay-out-3,465639,461276,444801,4547951,45289,10000
plutuz,future-pay-out-4,850501,847881,807468,1159818,25679,5879
plutuz,future-settle-early-1,260168,254503,248684,1381198,16316,10000
plutuz,future-settle-early-2,470929,467483,446550,971911,16796,10000
