"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: file"
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,122.319936,NaN,"us/op",auction_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,498.940324,NaN,"us/op",auction_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,476.841593,NaN,"us/op",auction_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,154.561457,NaN,"us/op",auction_1-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,119.178085,NaN,"us/op",auction_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,480.547505,NaN,"us/op",auction_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,613.213965,NaN,"us/op",auction_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,466.904994,NaN,"us/op",auction_2-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,152.917506,NaN,"us/op",auction_2-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,140.350794,NaN,"us/op",crowdfunding-success-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,140.314234,NaN,"us/op",crowdfunding-success-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,139.284875,NaN,"us/op",crowdfunding-success-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,221.136985,NaN,"us/op",currency-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,245.379291,NaN,"us/op",escrow-redeem_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,247.276212,NaN,"us/op",escrow-redeem_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,288.247135,NaN,"us/op",escrow-redeem_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,293.484655,NaN,"us/op",escrow-redeem_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,297.988208,NaN,"us/op",escrow-redeem_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,104.079692,NaN,"us/op",escrow-refund-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,177.743781,NaN,"us/op",future-increase-margin-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,394.352207,NaN,"us/op",future-increase-margin-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,411.276087,NaN,"us/op",future-increase-margin-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,362.416716,NaN,"us/op",future-increase-margin-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,635.380246,NaN,"us/op",future-increase-margin-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,175.666473,NaN,"us/op",future-pay-out-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,391.563302,NaN,"us/op",future-pay-out-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,391.017036,NaN,"us/op",future-pay-out-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,623.845383,NaN,"us/op",future-pay-out-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,182.006428,NaN,"us/op",future-settle-early-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,388.291240,NaN,"us/op",future-settle-early-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,388.498976,NaN,"us/op",future-settle-early-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,476.152690,NaN,"us/op",future-settle-early-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,274.514324,NaN,"us/op",game-sm-success_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,135.263207,NaN,"us/op",game-sm-success_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,479.313204,NaN,"us/op",game-sm-success_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,155.790428,NaN,"us/op",game-sm-success_1-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,273.537395,NaN,"us/op",game-sm-success_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,137.189284,NaN,"us/op",game-sm-success_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,464.178207,NaN,"us/op",game-sm-success_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,155.382081,NaN,"us/op",game-sm-success_2-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,492.073261,NaN,"us/op",game-sm-success_2-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,157.657095,NaN,"us/op",game-sm-success_2-6.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,281.131027,NaN,"us/op",multisig-sm-01.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,279.115617,NaN,"us/op",multisig-sm-02.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,300.956603,NaN,"us/op",multisig-sm-03.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,290.443075,NaN,"us/op",multisig-sm-04.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,414.284796,NaN,"us/op",multisig-sm-05.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,283.941841,NaN,"us/op",multisig-sm-06.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,280.497369,NaN,"us/op",multisig-sm-07.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,285.875837,NaN,"us/op",multisig-sm-08.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,287.877429,NaN,"us/op",multisig-sm-09.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,410.142690,NaN,"us/op",multisig-sm-10.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,253.175790,NaN,"us/op",ping-pong-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,243.641357,NaN,"us/op",ping-pong-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,146.921495,NaN,"us/op",ping-pong_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,112.219910,NaN,"us/op",prism-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,287.331231,NaN,"us/op",prism-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,268.527259,NaN,"us/op",prism-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,104.080472,NaN,"us/op",pubkey-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,707.205022,NaN,"us/op",stablecoin_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,132.279950,NaN,"us/op",stablecoin_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,796.449109,NaN,"us/op",stablecoin_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,141.547715,NaN,"us/op",stablecoin_1-4.flat
