vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
scalus-jit,auction_1-1,31841,31841,31841,31841,0,1
scalus-jit,auction_1-2,777400,777400,777400,777400,0,1
scalus-jit,auction_1-3,586832,586832,586832,586832,0,1
scalus-jit,auction_1-4,49150,49150,49150,49150,0,1
scalus-jit,auction_2-1,38125,38125,38125,38125,0,1
scalus-jit,auction_2-2,1131890,1131890,1131890,1131890,0,1
scalus-jit,auction_2-3,828282,828282,828282,828282,0,1
scalus-jit,auction_2-4,543104,543104,543104,543104,0,1
scalus-jit,auction_2-5,43338,43338,43338,43338,0,1
scalus-jit,crowdfunding-success-1,32126,32126,32126,32126,0,1
scalus-jit,crowdfunding-success-2,33571,33571,33571,33571,0,1
scalus-jit,crowdfunding-success-3,32048,32048,32048,32048,0,1
scalus-jit,currency-1,29617,29617,29617,29617,0,1
scalus-jit,escrow-redeem_1-1,62124,62124,62124,62124,0,1
scalus-jit,escrow-redeem_1-2,61496,61496,61496,61496,0,1
scalus-jit,escrow-redeem_2-1,71292,71292,71292,71292,0,1
scalus-jit,escrow-redeem_2-2,70490,70490,70490,70490,0,1
scalus-jit,escrow-redeem_2-3,67400,67400,67400,67400,0,1
scalus-jit,escrow-refund-1,15842,15842,15842,15842,0,1
scalus-jit,future-increase-margin-1,27365,27365,27365,27365,0,1
scalus-jit,future-increase-margin-2,99112,99112,99112,99112,0,1
scalus-jit,future-increase-margin-3,112727,112727,112727,112727,0,1
scalus-jit,future-increase-margin-4,614189,614189,614189,614189,0,1
scalus-jit,future-increase-margin-5,1225467,1225467,1225467,1225467,0,1
scalus-jit,future-pay-out-1,32030,32030,32030,32030,0,1
scalus-jit,future-pay-out-2,114930,114930,114930,114930,0,1
scalus-jit,future-pay-out-3,97647,97647,97647,97647,0,1
scalus-jit,future-pay-out-4,1356070,1356070,1356070,1356070,0,1
scalus-jit,future-settle-early-1,27512,27512,27512,27512,0,1
scalus-jit,future-settle-early-2,105010,105010,105010,105010,0,1
scalus-jit,future-settle-early-3,93959,93959,93959,93959,0,1
scalus-jit,future-settle-early-4,1164254,1164254,1164254,1164254,0,1
scalus-jit,game-sm-success_1-1,407086,407086,407086,407086,0,1
scalus-jit,game-sm-success_1-2,31626,31626,31626,31626,0,1
scalus-jit,game-sm-success_1-3,525665,525665,525665,525665,0,1
scalus-jit,game-sm-success_1-4,36134,36134,36134,36134,0,1
scalus-jit,game-sm-success_2-1,431620,431620,431620,431620,0,1
scalus-jit,game-sm-success_2-2,32435,32435,32435,32435,0,1
scalus-jit,game-sm-success_2-3,557037,557037,557037,557037,0,1
scalus-jit,game-sm-success_2-4,36651,36651,36651,36651,0,1
scalus-jit,game-sm-success_2-5,564589,564589,564589,564589,0,1
scalus-jit,game-sm-success_2-6,36994,36994,36994,36994,0,1
scalus-jit,multisig-sm-01,502241,502241,502241,502241,0,1
scalus-jit,multisig-sm-02,539761,539761,539761,539761,0,1
scalus-jit,multisig-sm-03,559206,559206,559206,559206,0,1
scalus-jit,multisig-sm-04,512918,512918,512918,512918,0,1
scalus-jit,multisig-sm-05,756370,756370,756370,756370,0,1
scalus-jit,multisig-sm-06,530583,530583,530583,530583,0,1
scalus-jit,multisig-sm-07,552520,552520,552520,552520,0,1
scalus-jit,multisig-sm-08,549467,549467,549467,549467,0,1
scalus-jit,multisig-sm-09,505650,505650,505650,505650,0,1
scalus-jit,multisig-sm-10,723888,723888,723888,723888,0,1
scalus-jit,ping-pong-1,231535,231535,231535,231535,0,1
scalus-jit,ping-pong-2,223277,223277,223277,223277,0,1
scalus-jit,ping-pong_2-1,85341,85341,85341,85341,0,1
scalus-jit,prism-1,13368,13368,13368,13368,0,1
scalus-jit,prism-2,405458,405458,405458,405458,0,1
scalus-jit,prism-3,68351,68351,68351,68351,0,1
scalus-jit,pubkey-1,11767,11767,11767,11767,0,1
scalus-jit,stablecoin_1-2,31577,31577,31577,31577,0,1
scalus-jit,stablecoin_1-4,34050,34050,34050,34050,0,1
scalus-jit,stablecoin_1-6,41079,41079,41079,41079,0,1
scalus-jit,stablecoin_2-2,32368,32368,32368,32368,0,1
scalus-jit,stablecoin_2-4,32822,32822,32822,32822,0,1
scalus-jit,token-account-1,23061,23061,23061,23061,0,1
scalus-jit,token-account-2,40112,40112,40112,40112,0,1
scalus-jit,uniswap-1,43091,43091,43091,43091,0,1
scalus-jit,uniswap-2,32994,32994,32994,32994,0,1
scalus-jit,uniswap-4,55946,55946,55946,55946,0,1
scalus-jit,uniswap-6,53600,53600,53600,53600,0,1
scalus-jit,vesting-1,80645,80645,80645,80645,0,1
