Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Script,Mean,Error,StdDev,Gen0,Gen1,Allocated
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,auction_1-1,199.97 μs,31.055 μs,1.702 μs,8.0566,3.1738,395.05 KB
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,auction_1-2,729.09 μs,130.652 μs,7.161 μs,22.4609,16.6016,1121.37 KB
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,auction_1-3,722.32 μs,152.057 μs,8.335 μs,22.4609,16.6016,1134.36 KB
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,auction_1-4,232.85 μs,17.955 μs,0.984 μs,9.5215,3.9063,467.27 KB
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,auction_2-1,195.76 μs,0.375 μs,0.021 μs,8.0566,3.1738,395.05 KB
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,auction_2-2,704.09 μs,50.751 μs,2.782 μs,22.4609,16.6016,1121.37 KB
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,auction_2-3,908.53 μs,145.687 μs,7.986 μs,27.3438,24.4141,1365.21 KB
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,auction_2-4,706.82 μs,36.157 μs,1.982 μs,22.4609,16.6016,1134.36 KB
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,auction_2-5,235.86 μs,47.483 μs,2.603 μs,9.5215,3.9063,467.27 KB
DecodeAndEval,NativeAOT 10.0,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,NativeAOT 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Latest ILCompiler,Default,Default,3,Default,1,Default,Default,Default,50,Default,Default,16,3,coop-1,206.46 μs,53.563 μs,2.936 μs,8.7891,2.9297,442.08 KB
