vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
blaze-jsc,auction_1-1,588800,588800,485600,1518700,9538,850
blaze-jsc,auction_1-2,2003200,2003200,1532400,3134600,52083,251
blaze-jsc,auction_1-3,1980100,1980100,1529300,2800200,47720,253
blaze-jsc,auction_1-4,730000,730000,617900,1520900,11023,685
blaze-jsc,auction_2-1,578700,578700,486500,1376800,8564,865
blaze-jsc,auction_2-2,1940300,1940300,1515500,3668000,49477,258
blaze-jsc,auction_2-3,2422000,2422000,1914800,3548900,53526,207
blaze-jsc,auction_2-4,2020400,2020400,1527800,3819100,55763,248
blaze-jsc,auction_2-5,734900,734900,618300,1631200,11537,681
blaze-jsc,coop-1,803900,803900,682700,1581300,11254,622
blaze-jsc,coop-2,2687200,2687200,2248300,3718000,48100,187
blaze-jsc,coop-3,6764000,6764000,5997600,8847500,127163,74
blaze-jsc,coop-4,3337100,3337100,2594700,8896800,164185,150
blaze-jsc,coop-5,1445200,1445200,1209000,2902600,28614,346
blaze-jsc,coop-6,2315900,2315900,2032900,3005500,27559,216
blaze-jsc,coop-7,1122400,1122400,977800,1729200,14254,446
blaze-jsc,crowdfunding-success-1,715600,715600,588000,1298400,11020,699
blaze-jsc,crowdfunding-success-2,701000,701000,582200,1269400,10585,714
blaze-jsc,crowdfunding-success-3,690100,690100,579400,1525400,10834,725
blaze-jsc,currency-1,1019900,1019900,627100,1712800,24273,491
blaze-jsc,escrow-redeem_1-1,1079200,1079200,894800,1775100,18670,464
blaze-jsc,escrow-redeem_1-2,1074300,1074300,892200,1624800,18477,466
blaze-jsc,escrow-redeem_2-1,1223600,1223600,1026600,1775900,20801,409
blaze-jsc,escrow-redeem_2-2,1225800,1225800,1014999,1706600,20838,408
blaze-jsc,escrow-redeem_2-3,1223800,1223800,1043400,1708800,20437,409
blaze-jsc,escrow-refund-1,629200,629200,480300,1675000,13653,795
blaze-jsc,future-increase-margin-1,778000,778000,638300,1519300,12292,643
blaze-jsc,future-increase-margin-2,1606300,1606300,1311700,3118700,38069,312
blaze-jsc,future-increase-margin-3,1558500,1558500,1313200,2134500,26806,322
blaze-jsc,future-increase-margin-4,1611600,1611600,1332400,2805500,26269,311
blaze-jsc,future-increase-margin-5,3996900,3996900,3245500,6047700,102720,126
blaze-jsc,future-pay-out-1,771100,771100,632900,1712200,16193,649
blaze-jsc,future-pay-out-2,1635000,1635000,1302200,2856900,37768,307
blaze-jsc,future-pay-out-3,1641500,1641500,1334300,2683200,36113,305
blaze-jsc,future-pay-out-4,3833800,3833800,3143300,5284900,89710,131
blaze-jsc,future-settle-early-1,787600,787600,633900,1676800,16382,636
blaze-jsc,future-settle-early-2,1635000,1635000,1318200,2696400,36460,306
blaze-jsc,future-settle-early-3,1636000,1636000,1322100,2598400,35664,306
blaze-jsc,future-settle-early-4,3298400,3298400,2753100,4842600,82130,152
blaze-jsc,game-sm-success_1-1,1402800,1402800,1095600,2390300,37595,357
blaze-jsc,game-sm-success_1-2,674400,674400,553500,1517200,10790,742
blaze-jsc,game-sm-success_1-3,2093000,2093000,1638800,3417200,54836,239
blaze-jsc,game-sm-success_1-4,765100,765100,641100,1787500,13848,654
blaze-jsc,game-sm-success_2-1,1445800,1445800,1070600,3301800,45398,346
blaze-jsc,game-sm-success_2-2,674900,674900,558400,1577500,11000,742
blaze-jsc,game-sm-success_2-3,2112900,2112900,1624300,3526100,55146,237
blaze-jsc,game-sm-success_2-4,778600,778600,647200,1589800,13936,643
blaze-jsc,game-sm-success_2-5,2110700,2110700,1624300,3446400,58044,237
