vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
blaze-v8,auction_1-1,592300,592300,484100,1658800,10246,845
blaze-v8,auction_1-2,1863400,1863400,1505000,2708600,42299,269
blaze-v8,auction_1-3,1905100,1905100,1499000,2698800,45150,263
blaze-v8,auction_1-4,716500,716500,609400,1330500,10962,699
blaze-v8,auction_2-1,587400,587400,479100,1423600,10103,852
blaze-v8,auction_2-2,1924200,1924200,1509900,3794800,50029,260
blaze-v8,auction_2-3,2555900,2555900,1927600,3855800,64664,196
blaze-v8,auction_2-4,1944400,1944400,1530800,3056700,45693,258
blaze-v8,auction_2-5,740900,740900,611000,1690500,12150,675
blaze-v8,coop-1,908600,908600,691600,3705100,28439,551
blaze-v8,coop-2,2780600,2780600,2244700,7691500,78690,180
blaze-v8,coop-3,6391100,6391100,5701900,9494300,120791,79
blaze-v8,coop-4,3222100,3222100,2581100,4283700,63153,156
blaze-v8,coop-5,1554700,1554700,1197100,3938500,45397,322
blaze-v8,coop-6,2429800,2429800,1979100,7109000,63903,206
blaze-v8,coop-7,1220900,1220900,968900,4080899,33452,410
blaze-v8,crowdfunding-success-1,688500,688500,580800,1227400,10671,727
blaze-v8,crowdfunding-success-2,697100,697100,582000,1333800,10805,718
blaze-v8,crowdfunding-success-3,709800,709800,584300,1796000,11924,705
blaze-v8,currency-1,775400,775400,630000,1799200,13181,645
blaze-v8,escrow-redeem_1-1,1100500,1100500,901600,2309400,21899,455
blaze-v8,escrow-redeem_1-2,1165900,1165900,893600,2305600,29963,429
blaze-v8,escrow-redeem_2-1,1309000,1309000,1053100,2861800,28798,382
blaze-v8,escrow-redeem_2-2,1268300,1268300,1037099,2003600,23590,395
blaze-v8,escrow-redeem_2-3,1239100,1239100,1030400,2156700,23295,404
blaze-v8,escrow-refund-1,563100,563100,462000,1193400,10079,888
blaze-v8,future-increase-margin-1,764300,764300,622300,2121500,13910,655
blaze-v8,future-increase-margin-2,1595400,1595400,1316400,2590100,30791,314
blaze-v8,future-increase-margin-3,1566800,1566800,1306900,2509900,29142,320
blaze-v8,future-increase-margin-4,1500900,1500900,1311400,2016700,19811,334
blaze-v8,future-increase-margin-5,3859000,3859000,3189200,5346100,89142,130
blaze-v8,future-pay-out-1,746300,746300,622200,1316700,12537,670
blaze-v8,future-pay-out-2,1587400,1587400,1310800,2605800,31748,315
blaze-v8,future-pay-out-3,1614800,1614800,1324700,2565200,33264,310
blaze-v8,future-pay-out-4,3816000,3816000,3182000,4883300,88149,132
blaze-v8,future-settle-early-1,747500,747500,621900,1710600,12857,669
blaze-v8,future-settle-early-2,1577700,1577700,1319700,2446800,29818,317
blaze-v8,future-settle-early-3,1570500,1570500,1311500,2142200,29682,319
blaze-v8,future-settle-early-4,3270400,3270400,2716200,4561700,83068,154
blaze-v8,game-sm-success_1-1,1372800,1372800,1077500,2994100,36516,365
blaze-v8,game-sm-success_1-2,642300,642300,546900,1564100,9570,779
blaze-v8,game-sm-success_1-3,2029700,2029700,1620300,3112200,48915,247
blaze-v8,game-sm-success_1-4,740800,740800,632100,1190300,10519,675
blaze-v8,game-sm-success_2-1,1346500,1346500,1084500,2610900,32719,372
blaze-v8,game-sm-success_2-2,633200,633200,543100,1300700,8231,790
blaze-v8,game-sm-success_2-3,2042800,2042800,1612500,3383900,51274,245
blaze-v8,game-sm-success_2-4,763400,763400,641900,1256000,11069,655
blaze-v8,game-sm-success_2-5,2121100,2121100,1628000,4027599,61936,236
blaze-v8,game-sm-success_2-6,839400,839400,675600,1853300,17123,596
blaze-v8,guardrail-sorted-large,1872800,1872800,1351800,5281700,58431,267
blaze-v8,guardrail-sorted-small,387700,387700,242100,3418000,18648,1290
blaze-v8,guardrail-unsorted-large,2148100,2148100,1791100,3145300,39525,233
blaze-v8,guardrail-unsorted-small,367200,367200,234500,3087600,17258,1362
blaze-v8,multisig-sm-01,1491200,1491200,1124900,2947000,44139,336
blaze-v8,multisig-sm-02,1388200,1388200,1116500,2617700,34427,361
blaze-v8,multisig-sm-03,1419800,1419800,1107800,2434900,36772,353
blaze-v8,multisig-sm-04,1427900,1427900,1143300,2456900,36982,351
blaze-v8,multisig-sm-05,1855400,1855400,1484800,3307900,43972,270
blaze-v8,multisig-sm-06,1425400,1425400,1120600,2353200,36917,352
blaze-v8,multisig-sm-07,1423400,1423400,1122400,2896200,38716,352
blaze-v8,multisig-sm-08,1450900,1450900,1147600,2508300,37288,345
blaze-v8,multisig-sm-09,1438800,1438800,1144800,2571400,37121,348
blaze-v8,multisig-sm-10,1929200,1929200,1513100,3384200,49387,260
blaze-v8,ping-pong-1,1171200,1171200,937300,2107700,27171,427
blaze-v8,ping-pong-2,1192400,1192400,929800,2109400,28856,420
blaze-v8,ping-pong_2-1,887700,887700,606500,2870500,27429,564
blaze-v8,prism-1,542000,542000,467300,1025900,7262,923
blaze-v8,prism-2,1350300,1350300,1147100,2519400,26870,371
blaze-v8,prism-3,1104300,1104300,925400,1772900,17558,453
blaze-v8,pubkey-1,459500,459500,397800,975200,5697,1089
blaze-v8,stablecoin_1-1,5709000,5709000,4898700,6846800,123885,88
blaze-v8,stablecoin_1-2,632300,632300,537200,1452900,8915,791
blaze-v8,stablecoin_1-3,6210500,6210500,5321500,7553700,133525,81
blaze-v8,stablecoin_1-4,772800,772800,567300,1603300,17233,647
blaze-v8,stablecoin_1-5,7684000,7684000,6435900,9168900,136006,66
blaze-v8,stablecoin_1-6,811900,811900,694200,1432700,11204,616
blaze-v8,stablecoin_2-1,5810100,5810100,4954700,6894700,124336,87
blaze-v8,stablecoin_2-2,661400,661400,539600,1919200,11839,756
blaze-v8,stablecoin_2-3,6300400,6300400,5364700,7941100,145539,80
blaze-v8,stablecoin_2-4,671900,671900,577200,1510500,9809,745
blaze-v8,token-account-1,629600,629600,514300,1424900,11206,795
blaze-v8,token-account-2,998900,998900,817800,2023899,18479,501
blaze-v8,uniswap-1,1172900,1172900,966800,2448400,21815,427
blaze-v8,uniswap-2,732700,732700,610500,1307700,12602,683
blaze-v8,uniswap-3,5583900,5583900,5182300,6497900,54163,90
blaze-v8,uniswap-4,1067300,1067300,924700,1821400,15369,469
blaze-v8,uniswap-5,3854500,3854500,3084200,4608000,76319,130
blaze-v8,uniswap-6,1009600,1009600,869100,1703500,14033,496
blaze-v8,vesting-1,1075800,1075800,876600,2204600,21838,465
