vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
chrysalis-aot,auction_1-1,199972,200909,198007,201001,1702,3
chrysalis-aot,auction_1-2,729094,727181,723083,737017,7161,3
chrysalis-aot,auction_1-3,722323,717891,717140,731937,8334,3
chrysalis-aot,auction_1-4,232847,232670,231963,233908,984,3
chrysalis-aot,auction_2-1,195755,195745,195742,195779,20,3
chrysalis-aot,auction_2-2,704092,705520,700887,705871,2781,3
chrysalis-aot,auction_2-3,908533,906337,901876,917387,7985,3
chrysalis-aot,auction_2-4,706824,705981,705403,709088,1981,3
chrysalis-aot,auction_2-5,235861,236936,232893,237754,2602,3
chrysalis-aot,coop-1,206458,206196,203661,209516,2935,3
chrysalis-aot,coop-2,621032,616046,615122,631930,9448,3
chrysalis-aot,coop-3,2011820,2005316,2004000,2026145,12422,3
chrysalis-aot,coop-4,794728,795556,792753,795875,1718,3
chrysalis-aot,coop-5,403297,408767,392235,408888,9579,3
chrysalis-aot,coop-6,550804,548521,534174,569718,17881,3
chrysalis-aot,coop-7,273648,273410,273237,274297,568,3
chrysalis-aot,crowdfunding-success-1,230358,225506,225359,240209,8531,3
chrysalis-aot,crowdfunding-success-2,224841,224293,223970,226258,1238,3
chrysalis-aot,crowdfunding-success-3,219724,219416,219241,220516,690,3
chrysalis-aot,currency-1,291301,290263,288597,295041,3344,3
chrysalis-aot,escrow-redeem_1-1,374751,373684,372070,378499,3344,3
chrysalis-aot,escrow-redeem_1-2,402562,399310,377583,430793,26753,3
chrysalis-aot,escrow-redeem_2-1,434011,435308,428080,438645,5400,3
chrysalis-aot,escrow-redeem_2-2,427860,426576,425962,431043,2773,3
chrysalis-aot,escrow-redeem_2-3,426125,424093,423592,430691,3961,3
chrysalis-aot,escrow-refund-1,205100,205113,204272,205916,822,3
chrysalis-aot,future-increase-margin-1,285398,283684,283215,289295,3382,3
chrysalis-aot,future-increase-margin-2,536948,536948,536741,537157,207,3
chrysalis-aot,future-increase-margin-3,555258,553693,549487,562593,6691,3
chrysalis-aot,future-increase-margin-4,620431,623002,613859,624432,5736,3
chrysalis-aot,future-increase-margin-5,941134,938109,935429,949863,7677,3
chrysalis-aot,future-pay-out-1,287481,288639,282593,291210,4424,3
chrysalis-aot,future-pay-out-2,548510,547693,547168,550669,1888,3
chrysalis-aot,future-pay-out-3,544326,542167,540731,550078,5033,3
chrysalis-aot,future-pay-out-4,954066,950820,945497,965881,10572,3
chrysalis-aot,future-settle-early-1,286367,285915,283948,289237,2673,3
chrysalis-aot,future-settle-early-2,559267,556309,551229,570261,9854,3
chrysalis-aot,future-settle-early-3,564842,564229,562967,567329,2244,3
chrysalis-aot,future-settle-early-4,762190,751919,750234,784417,19267,3
chrysalis-aot,game-sm-success_1-1,479404,479568,473625,485021,5699,3
chrysalis-aot,game-sm-success_1-2,206410,206312,203272,209646,3187,3
chrysalis-aot,game-sm-success_1-3,693532,687487,682606,710502,14898,3
chrysalis-aot,game-sm-success_1-4,227397,226569,223953,231669,3924,3
chrysalis-aot,game-sm-success_2-1,467117,465204,465196,470950,3319,3
chrysalis-aot,game-sm-success_2-2,202438,201405,199990,205919,3096,3
chrysalis-aot,game-sm-success_2-3,700577,702196,696614,702920,3450,3
chrysalis-aot,game-sm-success_2-4,228919,229514,226235,231008,2441,3
chrysalis-aot,game-sm-success_2-5,692502,692200,690223,695084,2444,3
chrysalis-aot,game-sm-success_2-6,226480,225968,225594,227878,1225,3
chrysalis-aot,guardrail-sorted-large,421848,421808,421461,422274,407,3
chrysalis-aot,guardrail-sorted-small,99714,99715,99365,100062,348,3
chrysalis-aot,guardrail-unsorted-large,584428,585564,577873,589848,6067,3
chrysalis-aot,guardrail-unsorted-small,98911,98117,97176,101441,2240,3
chrysalis-aot,multisig-sm-01,507438,507422,506575,508316,870,3
chrysalis-aot,multisig-sm-02,500435,501622,497002,502680,3019,3
chrysalis-aot,multisig-sm-03,499631,501873,492781,504240,6049,3
chrysalis-aot,multisig-sm-04,513243,495219,494898,549612,31496,3
chrysalis-aot,multisig-sm-05,689466,677359,666069,724970,31261,3
chrysalis-aot,multisig-sm-06,502708,502068,498670,507387,4394,3
chrysalis-aot,multisig-sm-07,491703,490635,490501,493973,1966,3
chrysalis-aot,multisig-sm-08,502518,505235,495527,506792,6104,3
chrysalis-aot,multisig-sm-09,507070,510335,499562,511313,6520,3
chrysalis-aot,multisig-sm-10,669021,661395,659983,685685,14448,3
chrysalis-aot,ping-pong_2-1,299430,296686,294474,307129,6759,3
chrysalis-aot,ping-pong-1,412630,410857,410799,416234,3121,3
chrysalis-aot,ping-pong-2,412345,411359,410808,414869,2203,3
chrysalis-aot,prism-1,174024,172986,172849,176235,1916,3
chrysalis-aot,prism-2,492294,491059,489313,496508,3752,3
chrysalis-aot,prism-3,386698,385576,383220,391298,4154,3
chrysalis-aot,pubkey-1,155534,155598,155059,155945,446,3
chrysalis-aot,stablecoin_1-1,1105212,1105102,1103257,1107277,2012,3
chrysalis-aot,stablecoin_1-2,198105,197940,197524,198852,679,3
chrysalis-aot,stablecoin_1-3,1225715,1221972,1216418,1238754,11628,3
chrysalis-aot,stablecoin_1-4,212378,207120,206277,223736,9846,3
chrysalis-aot,stablecoin_1-5,1563116,1518536,1509647,1661164,85028,3
chrysalis-aot,stablecoin_1-6,247949,248426,245707,249713,2044,3
chrysalis-aot,stablecoin_2-1,1083206,1083558,1081816,1084244,1251,3
chrysalis-aot,stablecoin_2-2,199500,199623,198523,200355,922,3
chrysalis-aot,stablecoin_2-3,1262422,1249533,1216641,1321092,53405,3
chrysalis-aot,stablecoin_2-4,214784,214227,213187,216938,1936,3
chrysalis-aot,token-account-1,233379,233093,229254,237791,4276,3
chrysalis-aot,token-account-2,361918,347651,346893,391211,25371,3
chrysalis-aot,uniswap-1,444425,436550,435666,461059,14411,3
chrysalis-aot,uniswap-2,256548,255033,254383,260229,3203,3
chrysalis-aot,uniswap-3,1653929,1653601,1651693,1656494,2416,3
chrysalis-aot,uniswap-4,305662,304883,302749,309354,3370,3
chrysalis-aot,uniswap-5,1134765,1119080,1105230,1179986,39769,3
chrysalis-aot,uniswap-6,303315,301774,301037,307134,3328,3
chrysalis-aot,vesting-1,397882,397094,395974,400579,2401,3
