vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
chrysalis,auction_1-1,203098,202939,202373,203983,816,3
chrysalis,auction_1-2,715272,715217,714494,716107,807,3
chrysalis,auction_1-3,728018,728219,724742,731094,3180,3
chrysalis,auction_1-4,241152,242395,237374,243688,3335,3
chrysalis,auction_2-1,207206,207142,206213,208261,1025,3
chrysalis,auction_2-2,733983,733411,732170,736369,2156,3
chrysalis,auction_2-3,921608,926833,910636,927355,9505,3
chrysalis,auction_2-4,716000,717283,712612,718105,2962,3
chrysalis,auction_2-5,246508,243197,240404,255925,8273,3
chrysalis,coop-1,210165,209816,208996,211681,1375,3
chrysalis,coop-2,605215,605218,604488,605939,725,3
chrysalis,coop-3,2060819,2026104,2015710,2140643,69324,3
chrysalis,coop-4,791202,793690,779702,800214,10479,3
chrysalis,coop-5,393858,394294,392696,394585,1016,3
chrysalis,coop-6,521513,522037,519728,522772,1588,3
chrysalis,coop-7,272979,271862,271571,275505,2192,3
chrysalis,crowdfunding-success-1,235714,237140,232788,237216,2534,3
chrysalis,crowdfunding-success-2,232649,231938,230432,235578,2645,3
chrysalis,crowdfunding-success-3,235849,237467,232499,237581,2901,3
chrysalis,currency-1,301999,297931,293171,314896,11419,3
chrysalis,escrow-redeem_1-1,383493,383638,382625,384216,805,3
chrysalis,escrow-redeem_1-2,384927,383505,382997,388278,2913,3
chrysalis,escrow-redeem_2-1,436257,436864,433657,438249,2355,3
chrysalis,escrow-redeem_2-2,435531,435874,428459,442258,6905,3
chrysalis,escrow-redeem_2-3,437369,438503,432101,441504,4802,3
chrysalis,escrow-refund-1,223591,224442,219720,226613,3524,3
chrysalis,future-increase-margin-1,298528,298264,297176,300144,1501,3
chrysalis,future-increase-margin-2,555407,555275,554817,556130,666,3
chrysalis,future-increase-margin-3,538499,538468,537090,539937,1423,3
chrysalis,future-increase-margin-4,623867,623821,622989,624791,902,3
chrysalis,future-increase-margin-5,1006608,1001507,994583,1023735,15230,3
chrysalis,future-pay-out-1,290665,290090,288998,292906,2016,3
chrysalis,future-pay-out-2,548532,543547,542258,559791,9771,3
chrysalis,future-pay-out-3,575224,563631,563013,599028,20617,3
chrysalis,future-pay-out-4,948737,949201,943959,953051,4563,3
chrysalis,future-settle-early-1,293161,293267,291707,294510,1404,3
chrysalis,future-settle-early-2,553476,553291,549447,557692,4125,3
chrysalis,future-settle-early-3,581752,581235,579576,584445,2475,3
chrysalis,future-settle-early-4,752045,747247,746318,762569,9126,3
chrysalis,game-sm-success_1-1,482770,482057,482011,484241,1274,3
chrysalis,game-sm-success_1-2,214412,209497,205894,227845,11771,3
chrysalis,game-sm-success_1-3,703440,704778,700223,705321,2799,3
chrysalis,game-sm-success_1-4,227304,226884,226418,228610,1154,3
chrysalis,game-sm-success_2-1,476537,475655,473111,480844,3941,3
chrysalis,game-sm-success_2-2,201753,201727,201544,201990,224,3
chrysalis,game-sm-success_2-3,710776,710933,703754,717642,6945,3
chrysalis,game-sm-success_2-4,234049,234226,233029,234892,944,3
chrysalis,game-sm-success_2-5,699481,700097,698185,700160,1122,3
chrysalis,game-sm-success_2-6,239091,233730,232603,250942,10278,3
chrysalis,guardrail-sorted-large,409423,406692,405848,415731,5478,3
chrysalis,guardrail-sorted-small,99293,99244,98916,99719,403,3
chrysalis,guardrail-unsorted-large,570725,570612,570291,571273,500,3
chrysalis,guardrail-unsorted-small,96838,96170,96117,98226,1202,3
chrysalis,multisig-sm-01,529637,526288,521989,540634,9763,3
chrysalis,multisig-sm-02,503307,500963,498382,510575,6425,3
chrysalis,multisig-sm-03,512142,510320,508514,517593,4806,3
