Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
auction_1-1,8.79117899728869e-5,8.737990754569847e-5,9.016880038377024e-5,3.788152385500269e-6,1.4098436832921872e-6,8.847970350896036e-6
auction_1-2,3.2726286043486245e-4,3.260448552105646e-4,3.298172941140207e-4,7.232217721438715e-6,4.066287794026838e-6,1.308435296723176e-5
auction_1-3,3.21195061516639e-4,3.195605151937109e-4,3.2395320008342203e-4,9.316173515770972e-6,6.279960268010378e-6,1.4757440156896168e-5
auction_1-4,1.1470848409204282e-4,1.1389412996714095e-4,1.1616868908373281e-4,4.633449268981141e-6,3.1199869839932894e-6,7.291624399666366e-6
auction_2-1,9.003803623676429e-5,8.886628362431139e-5,9.332825517628052e-5,7.778538868939809e-6,2.1628441540320947e-6,1.4713943415414296e-5
auction_2-2,3.3122290412062087e-4,3.291403024811351e-4,3.3625190840124916e-4,1.2538792394820399e-5,7.701050118119617e-6,2.3211612665644273e-5
auction_2-3,4.239591491224919e-4,4.2309343000637646e-4,4.2490944361998933e-4,3.821242665731741e-6,3.089456831543657e-6,5.11983957182096e-6
auction_2-4,3.2181615954404854e-4,3.1853557470994657e-4,3.295421190695571e-4,2.059132310596503e-5,6.590265799783353e-6,3.458665236863663e-5
auction_2-5,1.1564237009380788e-4,1.1495259284366551e-4,1.164203536550587e-4,3.2331509527658764e-6,2.645568041536724e-6,4.49042016743366e-6
coop-1,1.1895027262151918e-4,1.1643627664830132e-4,1.22473672343424e-4,1.2612114091824134e-5,7.5546196055631765e-6,1.8959615335994573e-5
coop-2,3.7823923396861526e-4,3.75273249629305e-4,3.8359474627025904e-4,1.7044101599740964e-5,1.19219844469447e-5,2.635287043595266e-5
coop-3,1.1536729614642863e-3,1.14458966098766e-3,1.1765109848046458e-3,5.672642349832929e-5,3.012957634632343e-5,1.0546337048216248e-4
coop-4,4.909087549093291e-4,4.89526911331098e-4,4.929236771613649e-4,6.912817250502561e-6,4.761983034160878e-6,9.768491079199287e-6
coop-5,2.1037251211396125e-4,2.093927497635407e-4,2.1201294216003556e-4,5.295265253305674e-6,3.619302889060968e-6,1.0202710024615974e-5
coop-6,3.391012031549136e-4,3.3795960218070394e-4,3.4092244085261105e-4,6.045372717019935e-6,4.5869348232443045e-6,8.459816319636873e-6
coop-7,1.6278741896987053e-4,1.5948271663766264e-4,1.6977751869958946e-4,1.9045406720821317e-5,1.1289543133286589e-5,3.073649502639962e-5
crowdfunding-success-1,1.0473780729967071e-4,1.0418121440756756e-4,1.0641616146564517e-4,3.898178995878418e-6,1.778704671663525e-6,7.532571361384666e-6
crowdfunding-success-2,1.0562813093795209e-4,1.0501140635686567e-4,1.068650230217823e-4,3.5085372146184357e-6,2.474748870979509e-6,6.251620726352687e-6
crowdfunding-success-3,1.0743367868564379e-4,1.0630979569102212e-4,1.1085265507381412e-4,7.301331666223616e-6,4.125206816402656e-6,1.3732343226962388e-5
currency-1,1.2699180973124033e-4,1.2637389076830926e-4,1.2808230544859812e-4,3.522656417559026e-6,2.2201415966201855e-6,5.664386241027648e-6
