vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
haskell,auction_1-1,87911,87911,87379,90168,3788,0
haskell,auction_1-2,327262,327262,326044,329817,7232,0
haskell,auction_1-3,321195,321195,319560,323953,9316,0
haskell,auction_1-4,114708,114708,113894,116168,4633,0
haskell,auction_2-1,90038,90038,88866,93328,7778,0
haskell,auction_2-2,331222,331222,329140,336251,12538,0
haskell,auction_2-3,423959,423959,423093,424909,3821,0
haskell,auction_2-4,321816,321816,318535,329542,20591,0
haskell,auction_2-5,115642,115642,114952,116420,3233,0
haskell,coop-1,118950,118950,116436,122473,12612,0
haskell,coop-2,378239,378239,375273,383594,17044,0
haskell,coop-3,1153672,1153672,1144589,1176510,56726,0
haskell,coop-4,490908,490908,489526,492923,6912,0
haskell,coop-5,210372,210372,209392,212012,5295,0
haskell,coop-6,339101,339101,337959,340922,6045,0
haskell,coop-7,162787,162787,159482,169777,19045,0
haskell,crowdfunding-success-1,104737,104737,104181,106416,3898,0
haskell,crowdfunding-success-2,105628,105628,105011,106865,3508,0
haskell,crowdfunding-success-3,107433,107433,106309,110852,7301,0
haskell,currency-1,126991,126991,126373,128082,3522,0
haskell,escrow-redeem_1-1,179227,179227,178373,181109,5249,0
haskell,escrow-redeem_1-2,177675,177675,177265,178414,2207,0
haskell,escrow-redeem_2-1,210204,210204,207752,214702,14396,0
haskell,escrow-redeem_2-2,210751,210751,208471,216052,14527,0
haskell,escrow-redeem_2-3,209903,209903,208619,211650,6596,0
haskell,escrow-refund-1,77495,77495,77284,77798,1107,0
haskell,future-increase-margin-1,126503,126503,125652,128416,4878,0
haskell,future-increase-margin-2,269088,269088,267653,270651,6469,0
haskell,future-increase-margin-3,265626,265626,265140,266608,2889,0
haskell,future-increase-margin-4,256644,256644,254415,261838,13716,0
haskell,future-increase-margin-5,431528,431528,430321,433519,6254,0
haskell,future-pay-out-1,127072,127072,126473,127922,3051,0
haskell,future-pay-out-2,267731,267731,266890,269101,4686,0
haskell,future-pay-out-3,270612,270612,269003,272125,6767,0
haskell,future-pay-out-4,457319,457319,446242,473477,61566,0
haskell,future-settle-early-1,126804,126804,126015,129395,5750,0
haskell,future-settle-early-2,275501,275501,271645,283711,24001,0
haskell,future-settle-early-3,267799,267799,265297,272836,15071,0
haskell,future-settle-early-4,318909,318909,317881,320882,5543,0
haskell,game-sm-success_1-1,207686,207686,205793,210703,9938,0
haskell,game-sm-success_1-2,97731,97731,97356,98199,1745,0
haskell,game-sm-success_1-3,323580,323580,320401,334481,21537,0
haskell,game-sm-success_1-4,114753,114753,113398,117589,8069,0
haskell,game-sm-success_2-1,201831,201831,200827,202970,4411,0
haskell,game-sm-success_2-2,97716,97716,97225,99382,3359,0
haskell,game-sm-success_2-3,325140,325140,323314,327575,8750,0
haskell,game-sm-success_2-4,114319,114319,113496,115700,4548,0
haskell,game-sm-success_2-5,329120,329120,326539,333724,14367,0
haskell,game-sm-success_2-6,116673,116673,113785,121915,15550,0
haskell,guardrail-sorted-large,220778,220778,218842,225262,11776,0
haskell,guardrail-sorted-small,33172,33172,32970,33471,1070,0
haskell,guardrail-unsorted-large,295341,295341,294105,297031,5723,0
haskell,guardrail-unsorted-small,33643,33643,33431,33986,1121,0
haskell,multisig-sm-01,203015,203015,202640,203450,1783,0
haskell,multisig-sm-02,202327,202327,201274,203864,5369,0
haskell,multisig-sm-03,203966,203966,202802,205422,5666,0
haskell,multisig-sm-04,209481,209481,208339,210722,5136,0
haskell,multisig-sm-05,289898,289898,288765,291318,5525,0
haskell,multisig-sm-06,210307,210307,208648,213398,9327,0
haskell,multisig-sm-07,202573,202573,201692,203709,4287,0
haskell,multisig-sm-08,201584,201584,199840,206503,11739,0
haskell,multisig-sm-09,208401,208401,204519,215412,23247,0
haskell,multisig-sm-10,286825,286825,285585,288527,6282,0
haskell,ping-pong-1,167691,167691,167283,168144,1839,0
haskell,ping-pong-2,170372,170372,168452,173552,10363,0
haskell,ping-pong_2-1,104064,104064,103475,105316,3515,0
haskell,prism-1,81767,81767,81130,83167,4002,0
haskell,prism-2,211873,211873,210552,213480,6156,0
haskell,prism-3,185505,185505,184927,186410,3251,0
haskell,pubkey-1,71546,71546,70876,73052,4003,0
haskell,stablecoin_1-1,509233,509233,505827,519055,23322,0
haskell,stablecoin_1-2,96354,96354,95985,96877,1867,0
haskell,stablecoin_1-3,572051,572051,569370,577378,15468,0
haskell,stablecoin_1-4,104427,104427,102933,107519,9310,0
haskell,stablecoin_1-5,724997,724997,720358,732975,26030,0
haskell,stablecoin_1-6,126359,126359,125557,128218,5099,0
haskell,stablecoin_2-1,529900,529900,517033,550946,68660,0
haskell,stablecoin_2-2,97023,97023,96093,100432,6130,0
haskell,stablecoin_2-3,620106,620106,600732,647009,96311,0
haskell,stablecoin_2-4,103659,103659,103189,104150,2175,0
haskell,token-account-1,95761,95761,94979,98060,4805,0
haskell,token-account-2,167142,167142,166093,169566,6627,0
haskell,uniswap-1,204332,204332,202648,207327,9486,0
haskell,uniswap-2,110200,110200,109602,111035,2943,0
haskell,uniswap-3,883272,883272,878676,888719,21760,0
haskell,uniswap-4,162513,162513,161801,164254,4726,0
haskell,uniswap-5,588268,588268,585940,591068,11069,0
haskell,uniswap-6,155852,155852,155049,157010,4201,0
haskell,vesting-1,180723,180723,179993,181807,3832,0
