vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
opshin,auction_1-1,94710000,94710000,89810000,111630000,6770000,22
opshin,auction_1-2,346780000,346780000,330670000,417470000,19720000,20
opshin,auction_1-3,342260000,342260000,329820000,366390000,12080000,20
opshin,auction_1-4,115150000,115150000,108650000,138790000,7430000,20
opshin,auction_2-1,91980000,91980000,89130000,110840000,5940000,22
opshin,auction_2-2,348360000,348360000,333160000,378340000,12010000,20
opshin,auction_2-3,429420000,429420000,419630000,465660000,12030000,20
opshin,auction_2-4,342900000,342900000,333440000,359520000,9450000,20
opshin,auction_2-5,112030000,112030000,108210000,129590000,5910000,20
opshin,coop-1,15680000,15680000,13270000,35750000,4720000,128
opshin,coop-2,36100000,36100000,31360000,54920000,7120000,56
opshin,coop-3,35900000,35900000,30950000,53840000,7000000,56
opshin,coop-4,41390000,41390000,35320000,61310000,7850000,49
opshin,coop-5,41610000,41610000,34440000,60200000,7870000,49
opshin,coop-6,18950000,18950000,16290000,37760000,5160000,106
opshin,coop-7,17700000,17700000,15360000,35660000,4960000,114
opshin,crowdfunding-success-1,114420000,114420000,107490000,132620000,7920000,20
opshin,crowdfunding-success-2,111250000,111250000,106910000,129759999,7680000,20
opshin,crowdfunding-success-3,110090000,110090000,106620000,129229999,6380000,20
opshin,currency-1,138800000,138800000,134960000,156710000,7280000,20
opshin,escrow-redeem_1-1,188330000,188330000,179070000,210570000,8770000,20
opshin,escrow-redeem_1-2,191690000,191690000,178460000,248230000,18060000,20
opshin,escrow-redeem_2-1,228770000,228770000,205570000,318660000,34230000,20
opshin,escrow-redeem_2-2,211130000,211130000,205480000,229140000,8670000,20
opshin,escrow-redeem_2-3,217270000,217270000,206270000,285030000,18460000,20
opshin,escrow-refund-1,101680000,101680000,95970000,121980000,9040000,20
opshin,future-increase-margin-1,139650000,139650000,134880000,156630000,7260000,20
opshin,future-increase-margin-2,275240000,275240000,265320000,299860000,9850000,20
opshin,future-increase-margin-3,276970000,276970000,266490000,296900000,9050000,20
opshin,future-pay-out-1,142750000,142750000,136300000,158670000,6820000,20
opshin,future-pay-out-2,282440000,282440000,267370000,329370000,14490000,20
opshin,future-pay-out-3,271650000,271650000,264779999,291790000,7560000,20
opshin,future-settle-early-1,147500000,147500000,134720000,187650000,17730000,20
opshin,future-settle-early-2,273740000,273740000,265350000,305210000,10470000,20
opshin,future-settle-early-3,274280000,274280000,267660000,292210000,7240000,20
opshin,game-sm-success_1-1,223550000,223550000,213150000,247450000,10310000,20
opshin,game-sm-success_1-2,99170000,99170000,95650000,119260000,6280000,21
opshin,game-sm-success_1-3,348110000,348110000,327620000,396290000,16260000,20
opshin,game-sm-success_1-4,114900000,114900000,111760000,135200000,6460000,20
opshin,game-sm-success_2-1,224040000,224040000,213410000,247300000,10500000,20
opshin,game-sm-success_2-2,102000000,102000000,96450000,122070000,6740000,20
opshin,game-sm-success_2-3,339240000,339240000,327890000,368810000,11100000,20
opshin,game-sm-success_2-4,115140000,115140000,107360000,131449999,6790000,20
opshin,game-sm-success_2-5,337880000,337880000,324660000,362960000,12020000,20
opshin,game-sm-success_2-6,112290000,112290000,108340000,132320000,6670000,20
opshin,guardrail-sorted-large,20630000,20630000,18330000,38820000,5060000,97
opshin,guardrail-sorted-small,16129999,16129999,14160000,35400000,4950000,124
opshin,guardrail-unsorted-large,20690000,20690000,18050000,38790000,5240000,97
opshin,guardrail-unsorted-small,16280000,16280000,14060000,43880000,5250000,123
opshin,ping-pong-1,198930000,198930000,190640000,216390000,9920000,20
opshin,ping-pong-2,201900000,201900000,190850000,232400000,13990000,20
opshin,ping-pong_2-1,147080000,147080000,136960000,165980000,10530000,20
opshin,prism-1,86520000,86520000,81970000,106120000,5860000,24
opshin,prism-2,236770000,236770000,226980000,264300000,11030000,20
opshin,prism-3,184850000,184850000,180100000,205370000,7770000,20
opshin,pubkey-1,75260000,75260000,72730000,93620000,5070000,27
opshin,stablecoin_1-2,98210000,98210000,94840000,117220000,6050000,21
opshin,stablecoin_1-4,103170000,103170000,98250000,120940000,6130000,20
opshin,stablecoin_1-6,120440000,120440000,117390000,138690000,5700000,20
opshin,stablecoin_2-2,97860000,97860000,94530000,116700000,6250000,21
opshin,stablecoin_2-4,102160000,102160000,99260000,120520000,5940000,20
opshin,token-account-1,110790000,110790000,105820000,133660000,8109999,20
opshin,token-account-2,177760000,177760000,167650000,208840000,10710000,20
opshin,uniswap-1,225630000,225630000,215210000,254210000,10780000,20
opshin,uniswap-2,125400000,125400000,118670000,141640000,7540000,20
opshin,uniswap-3,784980000,784980000,752920000,977200000,48140000,20
opshin,uniswap-4,150820000,150820000,147360000,169570000,6010000,20
opshin,uniswap-5,540280000,540280000,508150000,689840000,38900000,20
opshin,uniswap-6,149360000,149360000,144190000,166930000,7080000,20
opshin,vesting-1,195570000,195570000,183780000,232090000,15090000,20
opshin,future-increase-margin-4,-1,-1,-1,-1,-1,0
opshin,future-increase-margin-5,-1,-1,-1,-1,-1,0
opshin,future-pay-out-4,-1,-1,-1,-1,-1,0
opshin,future-settle-early-4,-1,-1,-1,-1,-1,0
opshin,multisig-sm-01,-1,-1,-1,-1,-1,0
opshin,multisig-sm-02,-1,-1,-1,-1,-1,0
opshin,multisig-sm-03,-1,-1,-1,-1,-1,0
opshin,multisig-sm-04,-1,-1,-1,-1,-1,0
opshin,multisig-sm-05,-1,-1,-1,-1,-1,0
opshin,multisig-sm-06,-1,-1,-1,-1,-1,0
opshin,multisig-sm-07,-1,-1,-1,-1,-1,0
opshin,multisig-sm-08,-1,-1,-1,-1,-1,0
opshin,multisig-sm-09,-1,-1,-1,-1,-1,0
opshin,multisig-sm-10,-1,-1,-1,-1,-1,0
opshin,stablecoin_1-1,-1,-1,-1,-1,-1,0
opshin,stablecoin_1-3,-1,-1,-1,-1,-1,0
opshin,stablecoin_1-5,-1,-1,-1,-1,-1,0
opshin,stablecoin_2-1,-1,-1,-1,-1,-1,0
opshin,stablecoin_2-3,-1,-1,-1,-1,-1,0
