vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
plutuz,auction_1-1,206588,200518,194158,627173,15067,10000
plutuz,auction_1-2,651921,645877,607209,1210384,38149,7670
plutuz,auction_1-3,634656,626808,600243,2080581,46166,7879
plutuz,auction_1-4,238119,233019,227717,454644,11666,10000
plutuz,auction_2-1,212003,201844,194739,608283,22621,10000
plutuz,auction_2-2,655682,645662,606106,1164096,54868,7626
plutuz,auction_2-3,793306,766908,726185,1195260,92587,6303
plutuz,auction_2-4,633462,629327,598933,1005478,23954,7894
plutuz,auction_2-5,239078,234328,228311,721488,12776,10000
plutuz,coop-1,201997,196685,190734,578886,13134,10000
plutuz,coop-2,601414,594692,561862,1224014,40827,8314
plutuz,coop-3,1493896,1470553,1397236,2214283,97099,3347
plutuz,coop-4,770915,718935,675804,1468314,110107,6486
plutuz,coop-5,386194,375275,356872,634156,36333,10000
plutuz,coop-6,535136,509396,487038,1309421,70474,9344
plutuz,coop-7,273461,267643,261026,1642874,19400,10000
plutuz,crowdfunding-success-1,237052,231227,225066,393470,13500,10000
plutuz,crowdfunding-success-2,236055,230688,225154,744688,13483,10000
plutuz,crowdfunding-success-3,241121,230643,225044,588171,25141,10000
plutuz,currency-1,263528,258221,250620,579034,14347,10000
plutuz,escrow-redeem_1-1,365558,358670,342549,904303,27294,10000
plutuz,escrow-redeem_1-2,363297,357757,341406,814736,19311,10000
plutuz,escrow-redeem_2-1,397042,391929,376067,1179299,23522,10000
plutuz,escrow-redeem_2-2,397501,393437,376705,927875,17624,10000
plutuz,escrow-redeem_2-3,402038,394228,376530,665628,26243,10000
plutuz,escrow-refund-1,234283,228509,221118,710021,15837,10000
plutuz,future-increase-margin-1,293923,265234,249993,497334,49324,10000
plutuz,future-increase-margin-2,495935,476280,455313,978630,58922,10000
plutuz,future-increase-margin-3,481449,474217,453740,1359298,33250,10000
plutuz,future-increase-margin-4,598654,590793,567583,1120743,21424,8353
plutuz,future-increase-margin-5,876028,871862,827190,1533397,34441,5708
plutuz,future-pay-out-1,263338,257682,250982,764675,14640,10000
plutuz,future-pay-out-2,480452,475526,454159,1131953,19612,10000
plutuz,future-pay-out-3,477760,474294,454830,683415,17036,10000
plutuz,future-pay-out-4,880274,874623,824967,1297167,37063,5681
plutuz,future-settle-early-1,264580,259249,250763,534031,14028,10000
plutuz,future-settle-early-2,482025,476109,454643,1267927,27306,10000
plutuz,future-settle-early-3,475070,472050,453828,744677,16498,10000
plutuz,future-settle-early-4,764831,723087,677058,1441535,104352,6538
plutuz,game-sm-success_1-1,481202,470527,448328,890465,33453,10000
plutuz,game-sm-success_1-2,206912,201999,196190,325301,11834,10000
plutuz,game-sm-success_1-3,633565,626654,598394,1188054,28244,7892
plutuz,game-sm-success_1-4,227826,223136,217662,379709,10780,10000
plutuz,game-sm-success_2-1,481932,469085,447756,1047636,35176,10000
plutuz,game-sm-success_2-2,208613,202395,196466,723626,15468,10000
plutuz,game-sm-success_2-3,633131,627138,599616,1210220,24192,7898
plutuz,game-sm-success_2-4,228054,222569,217157,1341794,16699,10000
plutuz,game-sm-success_2-5,632212,623619,599527,2921731,38127,7909
plutuz,game-sm-success_2-6,227951,223108,217839,725362,12165,10000
plutuz,guardrail-sorted-large,346476,325576,311682,868392,54267,10000
plutuz,guardrail-sorted-small,96919,93437,91050,281487,9149,10000
plutuz,guardrail-unsorted-large,435911,427548,410729,725734,27069,10000
plutuz,guardrail-unsorted-small,94920,91963,89839,171913,7674,10000
plutuz,multisig-sm-01,521317,504606,476390,1274974,46910,9592
plutuz,multisig-sm-02,512281,501141,474883,1207365,35672,9761
plutuz,multisig-sm-03,526489,511195,472386,924785,61873,9497
plutuz,multisig-sm-04,512214,497384,476566,1152678,45907,9762
plutuz,multisig-sm-05,644484,612519,580585,974583,84083,7759
plutuz,multisig-sm-06,514539,504727,477512,752437,27005,9718
plutuz,multisig-sm-07,502161,492473,472903,880718,24248,9957
plutuz,multisig-sm-08,521075,507884,473596,1201641,54505,9596
plutuz,multisig-sm-09,512004,502890,478645,989988,25439,9766
plutuz,multisig-sm-10,626393,611506,579199,1222758,59343,7983
plutuz,ping-pong-1,421806,413782,397617,809302,23412,10000
plutuz,ping-pong-2,423372,416196,398926,945322,21510,10000
plutuz,ping-pong_2-1,333073,326065,312145,605849,21100,10000
plutuz,prism-1,180919,176764,171946,355739,10386,10000
plutuz,prism-2,504650,501921,465125,1043791,28444,9908
plutuz,prism-3,365339,354314,337930,876362,26260,10000
plutuz,pubkey-1,165004,161231,156468,259860,9415,10000
plutuz,stablecoin_1-1,1083973,1070725,1015229,2369317,59328,4613
plutuz,stablecoin_1-2,205731,200250,194431,500185,14035,10000
plutuz,stablecoin_1-3,1204671,1192356,1134560,1902656,50573,4151
plutuz,stablecoin_1-4,247504,228982,200943,414810,44366,10000
plutuz,stablecoin_1-5,1496423,1456467,1379460,2324450,142361,3342
plutuz,stablecoin_1-6,252847,245796,233437,620910,20327,10000
plutuz,stablecoin_2-1,1129479,1079305,1021928,1926412,138306,4427
plutuz,stablecoin_2-2,211326,199314,193187,385000,26582,10000
plutuz,stablecoin_2-3,1191119,1184369,1114617,2192580,51497,4198
plutuz,stablecoin_2-4,207463,202898,197010,725839,12036,10000
plutuz,token-account-1,228142,220392,211793,385572,18001,10000
plutuz,token-account-2,306316,300072,287842,771186,19364,10000
plutuz,uniswap-1,350069,344498,334541,605047,14830,10000
plutuz,uniswap-2,249896,243962,238099,586695,13816,10000
plutuz,uniswap-3,1518208,1443456,1352059,2303253,205695,3294
plutuz,uniswap-4,302451,298010,287717,457308,13116,10000
plutuz,uniswap-5,1014191,1008584,961305,1629793,36249,4931
plutuz,uniswap-6,298278,292146,279760,839752,19368,10000
plutuz,vesting-1,358568,351129,339051,873034,25376,10000
