"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: file"
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,135.882988,NaN,"us/op",auction_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,553.321620,NaN,"us/op",auction_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,535.980836,NaN,"us/op",auction_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,178.560349,NaN,"us/op",auction_1-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,133.791053,NaN,"us/op",auction_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,537.207883,NaN,"us/op",auction_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,714.068643,NaN,"us/op",auction_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,541.960317,NaN,"us/op",auction_2-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,175.181352,NaN,"us/op",auction_2-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,154.922956,NaN,"us/op",crowdfunding-success-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,154.394836,NaN,"us/op",crowdfunding-success-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,155.803551,NaN,"us/op",crowdfunding-success-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,203.812786,NaN,"us/op",currency-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,275.495615,NaN,"us/op",escrow-redeem_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,276.784652,NaN,"us/op",escrow-redeem_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,331.717321,NaN,"us/op",escrow-redeem_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,328.792712,NaN,"us/op",escrow-redeem_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,328.704508,NaN,"us/op",escrow-redeem_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,125.297500,NaN,"us/op",escrow-refund-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,204.772936,NaN,"us/op",future-increase-margin-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,447.831344,NaN,"us/op",future-increase-margin-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,435.888310,NaN,"us/op",future-increase-margin-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,394.168695,NaN,"us/op",future-increase-margin-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,716.045210,NaN,"us/op",future-increase-margin-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,200.954125,NaN,"us/op",future-pay-out-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,441.216308,NaN,"us/op",future-pay-out-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,432.533934,NaN,"us/op",future-pay-out-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,714.347262,NaN,"us/op",future-pay-out-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,203.207853,NaN,"us/op",future-settle-early-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,437.364031,NaN,"us/op",future-settle-early-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,440.741808,NaN,"us/op",future-settle-early-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,534.525121,NaN,"us/op",future-settle-early-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,313.622385,NaN,"us/op",game-sm-success_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,155.180225,NaN,"us/op",game-sm-success_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,530.819200,NaN,"us/op",game-sm-success_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,176.953823,NaN,"us/op",game-sm-success_1-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,311.092228,NaN,"us/op",game-sm-success_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,156.056445,NaN,"us/op",game-sm-success_2-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,535.794382,NaN,"us/op",game-sm-success_2-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,178.808762,NaN,"us/op",game-sm-success_2-4.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,525.367396,NaN,"us/op",game-sm-success_2-5.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,177.171268,NaN,"us/op",game-sm-success_2-6.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,324.735626,NaN,"us/op",multisig-sm-01.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,317.845523,NaN,"us/op",multisig-sm-02.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,318.938250,NaN,"us/op",multisig-sm-03.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,323.224674,NaN,"us/op",multisig-sm-04.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,465.459766,NaN,"us/op",multisig-sm-05.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,328.322299,NaN,"us/op",multisig-sm-06.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,317.469076,NaN,"us/op",multisig-sm-07.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,319.525793,NaN,"us/op",multisig-sm-08.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,318.671409,NaN,"us/op",multisig-sm-09.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,464.697323,NaN,"us/op",multisig-sm-10.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,265.851448,NaN,"us/op",ping-pong-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,289.071962,NaN,"us/op",ping-pong-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,161.199058,NaN,"us/op",ping-pong_2-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,129.824744,NaN,"us/op",prism-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,330.884730,NaN,"us/op",prism-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,291.950642,NaN,"us/op",prism-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,108.562875,NaN,"us/op",pubkey-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,786.208202,NaN,"us/op",stablecoin_1-1.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,153.466264,NaN,"us/op",stablecoin_1-2.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,903.414557,NaN,"us/op",stablecoin_1-3.flat
"scalus.uplc.eval.CekJVMBenchmark.bench","avgt",1,1,158.467128,NaN,"us/op",stablecoin_1-4.flat
