vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
scalus-cek,auction_1-1,135882,135882,135882,135882,0,1
scalus-cek,auction_1-2,553321,553321,553321,553321,0,1
scalus-cek,auction_1-3,535980,535980,535980,535980,0,1
scalus-cek,auction_1-4,178560,178560,178560,178560,0,1
scalus-cek,auction_2-1,133791,133791,133791,133791,0,1
scalus-cek,auction_2-2,537207,537207,537207,537207,0,1
scalus-cek,auction_2-3,714068,714068,714068,714068,0,1
scalus-cek,auction_2-4,541960,541960,541960,541960,0,1
scalus-cek,auction_2-5,175181,175181,175181,175181,0,1
scalus-cek,crowdfunding-success-1,154922,154922,154922,154922,0,1
scalus-cek,crowdfunding-success-2,154394,154394,154394,154394,0,1
scalus-cek,crowdfunding-success-3,155803,155803,155803,155803,0,1
scalus-cek,currency-1,203812,203812,203812,203812,0,1
scalus-cek,escrow-redeem_1-1,275495,275495,275495,275495,0,1
scalus-cek,escrow-redeem_1-2,276784,276784,276784,276784,0,1
scalus-cek,escrow-redeem_2-1,331717,331717,331717,331717,0,1
scalus-cek,escrow-redeem_2-2,328792,328792,328792,328792,0,1
scalus-cek,escrow-redeem_2-3,328704,328704,328704,328704,0,1
scalus-cek,escrow-refund-1,125297,125297,125297,125297,0,1
scalus-cek,future-increase-margin-1,204772,204772,204772,204772,0,1
scalus-cek,future-increase-margin-2,447831,447831,447831,447831,0,1
scalus-cek,future-increase-margin-3,435888,435888,435888,435888,0,1
scalus-cek,future-increase-margin-4,394168,394168,394168,394168,0,1
scalus-cek,future-increase-margin-5,716045,716045,716045,716045,0,1
scalus-cek,future-pay-out-1,200954,200954,200954,200954,0,1
scalus-cek,future-pay-out-2,441216,441216,441216,441216,0,1
scalus-cek,future-pay-out-3,432533,432533,432533,432533,0,1
scalus-cek,future-pay-out-4,714347,714347,714347,714347,0,1
scalus-cek,future-settle-early-1,203207,203207,203207,203207,0,1
scalus-cek,future-settle-early-2,437364,437364,437364,437364,0,1
scalus-cek,future-settle-early-3,440741,440741,440741,440741,0,1
scalus-cek,future-settle-early-4,534525,534525,534525,534525,0,1
scalus-cek,game-sm-success_1-1,313622,313622,313622,313622,0,1
scalus-cek,game-sm-success_1-2,155180,155180,155180,155180,0,1
scalus-cek,game-sm-success_1-3,530819,530819,530819,530819,0,1
scalus-cek,game-sm-success_1-4,176953,176953,176953,176953,0,1
scalus-cek,game-sm-success_2-1,311092,311092,311092,311092,0,1
scalus-cek,game-sm-success_2-2,156056,156056,156056,156056,0,1
scalus-cek,game-sm-success_2-3,535794,535794,535794,535794,0,1
scalus-cek,game-sm-success_2-4,178808,178808,178808,178808,0,1
scalus-cek,game-sm-success_2-5,525367,525367,525367,525367,0,1
scalus-cek,game-sm-success_2-6,177171,177171,177171,177171,0,1
scalus-cek,multisig-sm-01,324735,324735,324735,324735,0,1
scalus-cek,multisig-sm-02,317845,317845,317845,317845,0,1
scalus-cek,multisig-sm-03,318938,318938,318938,318938,0,1
scalus-cek,multisig-sm-04,323224,323224,323224,323224,0,1
scalus-cek,multisig-sm-05,465459,465459,465459,465459,0,1
scalus-cek,multisig-sm-06,328322,328322,328322,328322,0,1
scalus-cek,multisig-sm-07,317469,317469,317469,317469,0,1
scalus-cek,multisig-sm-08,319525,319525,319525,319525,0,1
