"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: file"
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,34.440777,NaN,"us/op",auction_1-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,1007.114901,NaN,"us/op",auction_1-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,730.656421,NaN,"us/op",auction_1-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,50.627611,NaN,"us/op",auction_1-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,38.695968,NaN,"us/op",auction_2-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,1006.363469,NaN,"us/op",auction_2-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,961.873312,NaN,"us/op",auction_2-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,738.792716,NaN,"us/op",auction_2-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,51.978715,NaN,"us/op",auction_2-5.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,37.816648,NaN,"us/op",crowdfunding-success-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,41.710657,NaN,"us/op",crowdfunding-success-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,39.822258,NaN,"us/op",crowdfunding-success-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,45.147040,NaN,"us/op",currency-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,79.738298,NaN,"us/op",escrow-redeem_1-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,79.313088,NaN,"us/op",escrow-redeem_1-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,88.107177,NaN,"us/op",escrow-redeem_2-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,78.829374,NaN,"us/op",escrow-redeem_2-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,77.211228,NaN,"us/op",escrow-redeem_2-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,19.062691,NaN,"us/op",escrow-refund-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,41.480633,NaN,"us/op",future-increase-margin-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,168.640666,NaN,"us/op",future-increase-margin-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,178.021757,NaN,"us/op",future-increase-margin-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,912.887797,NaN,"us/op",future-increase-margin-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,2119.952008,NaN,"us/op",future-increase-margin-5.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,41.260963,NaN,"us/op",future-pay-out-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,130.194111,NaN,"us/op",future-pay-out-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,189.127792,NaN,"us/op",future-pay-out-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,2202.802103,NaN,"us/op",future-pay-out-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,41.011377,NaN,"us/op",future-settle-early-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,166.861993,NaN,"us/op",future-settle-early-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,155.713398,NaN,"us/op",future-settle-early-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,1768.986859,NaN,"us/op",future-settle-early-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,520.997464,NaN,"us/op",game-sm-success_1-1.flat
