vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
scalus-jit,auction_1-1,34440,34440,34440,34440,0,1
scalus-jit,auction_1-2,1007114,1007114,1007114,1007114,0,1
scalus-jit,auction_1-3,730656,730656,730656,730656,0,1
scalus-jit,auction_1-4,50627,50627,50627,50627,0,1
scalus-jit,auction_2-1,38695,38695,38695,38695,0,1
scalus-jit,auction_2-2,1006363,1006363,1006363,1006363,0,1
scalus-jit,auction_2-3,961873,961873,961873,961873,0,1
scalus-jit,auction_2-4,738792,738792,738792,738792,0,1
scalus-jit,auction_2-5,51978,51978,51978,51978,0,1
scalus-jit,crowdfunding-success-1,37816,37816,37816,37816,0,1
scalus-jit,crowdfunding-success-2,41710,41710,41710,41710,0,1
scalus-jit,crowdfunding-success-3,39822,39822,39822,39822,0,1
scalus-jit,currency-1,45147,45147,45147,45147,0,1
scalus-jit,escrow-redeem_1-1,79738,79738,79738,79738,0,1
scalus-jit,escrow-redeem_1-2,79313,79313,79313,79313,0,1
scalus-jit,escrow-redeem_2-1,88107,88107,88107,88107,0,1
scalus-jit,escrow-redeem_2-2,78829,78829,78829,78829,0,1
scalus-jit,escrow-redeem_2-3,77211,77211,77211,77211,0,1
scalus-jit,escrow-refund-1,19062,19062,19062,19062,0,1
scalus-jit,future-increase-margin-1,41480,41480,41480,41480,0,1
scalus-jit,future-increase-margin-2,168640,168640,168640,168640,0,1
scalus-jit,future-increase-margin-3,178021,178021,178021,178021,0,1
scalus-jit,future-increase-margin-4,912887,912887,912887,912887,0,1
scalus-jit,future-increase-margin-5,2119952,2119952,2119952,2119952,0,1
scalus-jit,future-pay-out-1,41260,41260,41260,41260,0,1
scalus-jit,future-pay-out-2,130194,130194,130194,130194,0,1
scalus-jit,future-pay-out-3,189127,189127,189127,189127,0,1
scalus-jit,future-pay-out-4,2202802,2202802,2202802,2202802,0,1
scalus-jit,future-settle-early-1,41011,41011,41011,41011,0,1
scalus-jit,future-settle-early-2,166861,166861,166861,166861,0,1
scalus-jit,future-settle-early-3,155713,155713,155713,155713,0,1
scalus-jit,future-settle-early-4,1768986,1768986,1768986,1768986,0,1
scalus-jit,game-sm-success_1-1,520997,520997,520997,520997,0,1
scalus-jit,game-sm-success_1-2,36858,36858,36858,36858,0,1
scalus-jit,game-sm-success_1-3,714889,714889,714889,714889,0,1
scalus-jit,game-sm-success_1-4,43698,43698,43698,43698,0,1
scalus-jit,game-sm-success_2-1,571235,571235,571235,571235,0,1
scalus-jit,game-sm-success_2-2,36754,36754,36754,36754,0,1
scalus-jit,game-sm-success_2-3,633375,633375,633375,633375,0,1
scalus-jit,game-sm-success_2-4,37245,37245,37245,37245,0,1
scalus-jit,game-sm-success_2-5,630174,630174,630174,630174,0,1
scalus-jit,game-sm-success_2-6,37087,37087,37087,37087,0,1
scalus-jit,multisig-sm-01,611901,611901,611901,611901,0,1
scalus-jit,multisig-sm-02,667851,667851,667851,667851,0,1
scalus-jit,multisig-sm-03,636098,636098,636098,636098,0,1
scalus-jit,multisig-sm-04,602757,602757,602757,602757,0,1
scalus-jit,multisig-sm-05,861754,861754,861754,861754,0,1
scalus-jit,multisig-sm-06,566675,566675,566675,566675,0,1
scalus-jit,multisig-sm-07,582780,582780,582780,582780,0,1
scalus-jit,multisig-sm-08,592115,592115,592115,592115,0,1
scalus-jit,multisig-sm-09,589604,589604,589604,589604,0,1
scalus-jit,multisig-sm-10,761448,761448,761448,761448,0,1
scalus-jit,ping-pong-1,252969,252969,252969,252969,0,1
scalus-jit,ping-pong-2,279261,279261,279261,279261,0,1
scalus-jit,ping-pong_2-1,128827,128827,128827,128827,0,1
scalus-jit,prism-1,12371,12371,12371,12371,0,1
scalus-jit,prism-2,445335,445335,445335,445335,0,1
scalus-jit,prism-3,73448,73448,73448,73448,0,1
scalus-jit,pubkey-1,11235,11235,11235,11235,0,1
scalus-jit,stablecoin_1-2,32431,32431,32431,32431,0,1
scalus-jit,stablecoin_1-4,36606,36606,36606,36606,0,1
scalus-jit,stablecoin_1-6,42057,42057,42057,42057,0,1
scalus-jit,stablecoin_2-2,32392,32392,32392,32392,0,1
scalus-jit,stablecoin_2-4,37463,37463,37463,37463,0,1
scalus-jit,token-account-1,25657,25657,25657,25657,0,1
scalus-jit,token-account-2,44738,44738,44738,44738,0,1
scalus-jit,uniswap-1,53104,53104,53104,53104,0,1
scalus-jit,uniswap-2,41535,41535,41535,41535,0,1
scalus-jit,uniswap-4,60007,60007,60007,60007,0,1
scalus-jit,uniswap-6,54455,54455,54455,54455,0,1
scalus-jit,vesting-1,142492,142492,142492,142492,0,1
scalus-jit,coop-1,-1,-1,-1,-1,-1,0
scalus-jit,coop-2,-1,-1,-1,-1,-1,0
scalus-jit,coop-3,-1,-1,-1,-1,-1,0
scalus-jit,coop-4,-1,-1,-1,-1,-1,0
scalus-jit,coop-5,-1,-1,-1,-1,-1,0
scalus-jit,coop-6,-1,-1,-1,-1,-1,0
scalus-jit,coop-7,-1,-1,-1,-1,-1,0
