vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
uplc-turbo-bc,auction_1-1,112504,110607,108467,145185,5757,100
uplc-turbo-bc,auction_1-2,358662,359724,347200,388557,9494,100
uplc-turbo-bc,auction_1-3,361964,351478,347533,462937,24737,100
uplc-turbo-bc,auction_1-4,144594,142342,140539,185422,6262,100
uplc-turbo-bc,auction_2-1,111778,112114,108773,123623,2632,100
uplc-turbo-bc,auction_2-2,357285,355027,347708,375493,6717,100
uplc-turbo-bc,auction_2-3,453990,451424,447855,474974,6378,100
uplc-turbo-bc,auction_2-4,355221,351150,347224,437300,13138,100
uplc-turbo-bc,auction_2-5,144409,142048,140380,184819,9041,100
uplc-turbo-bc,coop-1,143754,142088,140760,157434,3187,100
uplc-turbo-bc,coop-2,486748,481766,476776,573250,13123,100
uplc-turbo-bc,coop-3,1369490,1369827,1325492,1498278,29187,100
uplc-turbo-bc,coop-4,556546,557501,543723,586683,7931,100
uplc-turbo-bc,coop-5,254702,255618,245960,274140,6927,100
uplc-turbo-bc,coop-6,447568,443093,437937,591053,20675,100
uplc-turbo-bc,coop-7,209398,207707,201340,265875,12656,100
uplc-turbo-bc,crowdfunding-success-1,131427,131341,126895,149217,3651,100
uplc-turbo-bc,crowdfunding-success-2,129186,128022,127318,152000,3263,100
uplc-turbo-bc,crowdfunding-success-3,130489,128373,126729,158495,5092,100
uplc-turbo-bc,currency-1,147716,146669,145329,182227,4248,100
uplc-turbo-bc,escrow-redeem_1-1,207071,206066,201627,256602,6866,100
uplc-turbo-bc,escrow-redeem_1-2,203898,203706,198142,218415,2261,100
uplc-turbo-bc,escrow-redeem_2-1,237826,235783,233698,278020,5655,100
uplc-turbo-bc,escrow-redeem_2-2,236730,236434,233378,246972,2181,100
uplc-turbo-bc,escrow-redeem_2-3,236182,234418,231965,286135,8231,100
uplc-turbo-bc,escrow-refund-1,98779,96150,94493,121340,7560,100
uplc-turbo-bc,future-increase-margin-1,152636,152007,148737,161309,2303,100
uplc-turbo-bc,future-increase-margin-2,313237,310008,302223,331503,6354,100
uplc-turbo-bc,future-increase-margin-3,315809,316534,306485,342480,7552,100
uplc-turbo-bc,future-increase-margin-4,283783,278575,274080,364915,15760,100
uplc-turbo-bc,future-increase-margin-5,453552,452533,438437,486864,9494,100
uplc-turbo-bc,future-pay-out-1,150121,147002,141986,197861,8936,100
uplc-turbo-bc,future-pay-out-2,315719,308864,303338,400378,22707,100
uplc-turbo-bc,future-pay-out-3,312104,309230,306032,356714,8573,100
uplc-turbo-bc,future-pay-out-4,453048,449891,445889,588318,17023,100
uplc-turbo-bc,future-settle-early-1,150969,150440,144529,185888,6430,100
uplc-turbo-bc,future-settle-early-2,310499,308753,306306,322411,4310,100
uplc-turbo-bc,future-settle-early-3,318982,309059,306203,395178,24214,100
uplc-turbo-bc,future-settle-early-4,346490,345533,343200,369330,3716,100
uplc-turbo-bc,game-sm-success_1-1,224634,223820,221541,245095,3454,100
uplc-turbo-bc,game-sm-success_1-2,125252,123766,122292,136593,2964,100
uplc-turbo-bc,game-sm-success_1-3,359422,355860,351947,386953,7335,100
uplc-turbo-bc,game-sm-success_1-4,145967,144637,143130,151405,2345,100
uplc-turbo-bc,game-sm-success_2-1,228384,226711,222446,261551,5401,100
uplc-turbo-bc,game-sm-success_2-2,125797,124185,122445,160365,4664,100
uplc-turbo-bc,game-sm-success_2-3,377031,359135,353438,470441,34656,100
uplc-turbo-bc,game-sm-success_2-4,148588,148851,144764,158191,2825,100
uplc-turbo-bc,game-sm-success_2-5,364375,359534,354558,445279,12232,100
uplc-turbo-bc,game-sm-success_2-6,145108,144697,143257,162302,2206,100
uplc-turbo-bc,guardrail-sorted-large,275217,268119,264907,353395,19539,100
uplc-turbo-bc,guardrail-sorted-small,44178,43519,43101,54465,1652,100
uplc-turbo-bc,guardrail-unsorted-large,353737,352327,348641,370658,4529,100
uplc-turbo-bc,guardrail-unsorted-small,43060,42914,42200,46670,561,100
uplc-turbo-bc,multisig-sm-01,228962,227798,226370,240555,2870,100
uplc-turbo-bc,multisig-sm-02,224014,223338,219329,241066,2725,100
uplc-turbo-bc,multisig-sm-03,226718,225994,221611,240442,3712,100
uplc-turbo-bc,multisig-sm-04,232376,229775,226873,248379,4342,100
uplc-turbo-bc,multisig-sm-05,313937,310713,306853,333637,6068,100
uplc-turbo-bc,multisig-sm-06,231056,229571,228033,244809,3328,100
uplc-turbo-bc,multisig-sm-07,225405,224532,222057,237920,2947,100
uplc-turbo-bc,multisig-sm-08,238784,228815,226253,296136,21938,100
uplc-turbo-bc,multisig-sm-09,245027,233146,226178,298995,25391,100
uplc-turbo-bc,multisig-sm-10,315969,312552,308277,378986,9038,100
uplc-turbo-bc,ping-pong-1,190797,188680,186222,204263,4377,100
uplc-turbo-bc,ping-pong-2,189234,188838,187328,195843,1346,100
uplc-turbo-bc,ping-pong_2-1,125390,123346,117810,159204,8798,100
uplc-turbo-bc,prism-1,101379,100187,99431,118485,2594,100
uplc-turbo-bc,prism-2,240643,239052,235996,304866,8368,100
uplc-turbo-bc,prism-3,220893,216911,215718,278871,13877,100
uplc-turbo-bc,pubkey-1,89392,89163,86325,107870,3556,100
uplc-turbo-bc,stablecoin_1-1,510448,507546,502908,584462,11510,100
uplc-turbo-bc,stablecoin_1-2,124404,123493,121834,142986,2487,100
uplc-turbo-bc,stablecoin_1-3,600986,594045,576282,796786,41681,100
uplc-turbo-bc,stablecoin_1-4,130666,130116,127639,158741,3091,100
uplc-turbo-bc,stablecoin_1-5,734321,726115,721031,930696,27501,100
uplc-turbo-bc,stablecoin_1-6,163906,164200,159322,178013,3030,100
uplc-turbo-bc,stablecoin_2-1,515118,509550,502842,579154,11016,100
uplc-turbo-bc,stablecoin_2-2,125530,126076,122125,143643,2902,100
uplc-turbo-bc,stablecoin_2-3,599295,595239,572392,787184,40696,100
uplc-turbo-bc,stablecoin_2-4,130582,130390,129583,136946,855,100
uplc-turbo-bc,token-account-1,116526,113333,111998,150197,9687,100
uplc-turbo-bc,token-account-2,197396,197064,194520,208077,1950,100
uplc-turbo-bc,uniswap-1,228331,227216,223665,241237,3337,100
uplc-turbo-bc,uniswap-2,143797,136370,134931,174636,14178,100
uplc-turbo-bc,uniswap-3,892777,886882,874194,1024533,22105,100
uplc-turbo-bc,uniswap-4,215004,212539,210026,257129,6218,100
uplc-turbo-bc,uniswap-5,606798,601201,594393,630296,10519,100
uplc-turbo-bc,uniswap-6,205052,204273,200520,225787,3754,100
uplc-turbo-bc,vesting-1,202307,200041,198856,253437,7828,100
