vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
uplc-turbo,auction_1-1,157568,156696,153877,165649,2830,100
uplc-turbo,auction_1-2,433658,433695,427696,469705,5049,100
uplc-turbo,auction_1-3,438841,438781,429492,461589,3766,100
uplc-turbo,auction_1-4,190164,188836,186706,207312,3350,100
uplc-turbo,auction_2-1,158425,157695,155271,171058,2348,100
uplc-turbo,auction_2-2,446947,443105,439248,512046,9971,100
uplc-turbo,auction_2-3,536172,530602,520613,607865,13450,100
uplc-turbo,auction_2-4,442729,438026,429054,551884,21404,100
uplc-turbo,auction_2-5,191015,188383,186438,234747,6013,100
uplc-turbo,coop-1,171016,167540,165790,217292,9764,100
uplc-turbo,coop-2,519456,518856,513231,546065,5363,100
uplc-turbo,coop-3,1128497,1109404,1101665,1405129,60382,100
uplc-turbo,coop-4,560421,556551,551655,585476,8263,100
uplc-turbo,coop-5,323260,308344,304715,393328,31334,100
uplc-turbo,coop-6,466698,456554,451499,619640,32861,100
uplc-turbo,coop-7,237069,235295,232373,264615,4662,100
uplc-turbo,crowdfunding-success-1,186467,185125,183456,230521,6625,100
uplc-turbo,crowdfunding-success-2,190632,189782,184401,235459,6797,100
uplc-turbo,crowdfunding-success-3,186914,185801,182281,217759,4988,100
uplc-turbo,currency-1,195870,195022,191312,205606,3363,100
uplc-turbo,escrow-redeem_1-1,266823,267325,261715,273296,2871,100
uplc-turbo,escrow-redeem_1-2,269298,266919,265500,282951,4190,100
uplc-turbo,escrow-redeem_2-1,301648,301633,293676,335931,7965,100
uplc-turbo,escrow-redeem_2-2,295364,295283,292974,306051,1618,100
uplc-turbo,escrow-redeem_2-3,314472,303676,295993,374123,25218,100
uplc-turbo,escrow-refund-1,176049,173161,169671,208725,9548,100
uplc-turbo,future-increase-margin-1,196051,194672,190271,235110,7030,100
uplc-turbo,future-increase-margin-2,364879,364385,359602,391607,4921,100
uplc-turbo,future-increase-margin-3,364013,361070,358650,424808,8571,100
uplc-turbo,future-increase-margin-4,410202,408650,403569,434354,5399,100
uplc-turbo,future-increase-margin-5,571323,560758,552065,731956,33480,100
uplc-turbo,future-pay-out-1,192555,192246,190326,212890,2584,100
uplc-turbo,future-pay-out-2,373345,371001,358802,448053,13876,100
uplc-turbo,future-pay-out-3,365579,363250,358836,390031,5921,100
uplc-turbo,future-pay-out-4,564928,563710,557800,586671,4561,100
uplc-turbo,future-settle-early-1,192729,191524,189712,226944,4563,100
uplc-turbo,future-settle-early-2,365955,364938,355582,391720,7966,100
uplc-turbo,future-settle-early-3,367446,365343,360140,380610,5450,100
uplc-turbo,future-settle-early-4,480412,475367,467400,600702,21181,100
uplc-turbo,game-sm-success_1-1,335378,330061,324445,409529,19753,100
uplc-turbo,game-sm-success_1-2,163571,162957,159604,172376,2694,100
uplc-turbo,game-sm-success_1-3,451367,446883,440061,520161,15221,100
uplc-turbo,game-sm-success_1-4,185010,183082,181451,193141,3088,100
uplc-turbo,game-sm-success_2-1,333034,331797,327442,382154,8548,100
uplc-turbo,game-sm-success_2-2,167524,165641,161911,203948,9197,100
uplc-turbo,game-sm-success_2-3,453027,452663,436654,485843,9470,100
uplc-turbo,game-sm-success_2-4,187158,185751,181578,223783,7341,100
uplc-turbo,game-sm-success_2-5,450821,447720,441175,562453,16452,100
uplc-turbo,game-sm-success_2-6,189233,183319,180165,232713,13941,100
uplc-turbo,guardrail-sorted-large,329532,328695,326844,353161,3262,100
uplc-turbo,guardrail-sorted-small,75358,74614,72309,92823,4426,100
uplc-turbo,guardrail-unsorted-large,394365,393945,389217,426070,4775,100
uplc-turbo,guardrail-unsorted-small,73859,73942,71721,87709,2206,100
uplc-turbo,multisig-sm-01,344565,343646,339492,398855,6541,100
uplc-turbo,multisig-sm-02,340725,340645,336401,352140,3351,100
uplc-turbo,multisig-sm-03,341795,338736,334921,427623,15349,100
uplc-turbo,multisig-sm-04,352873,346100,340706,433547,21768,100
uplc-turbo,multisig-sm-05,420243,416839,410552,456882,7930,100
uplc-turbo,multisig-sm-06,352849,351260,342556,437725,12025,100
uplc-turbo,multisig-sm-07,342328,341167,337012,370735,4740,100
uplc-turbo,multisig-sm-08,359895,348934,342471,441874,27803,100
uplc-turbo,multisig-sm-09,342401,342014,334730,357530,3091,100
uplc-turbo,multisig-sm-10,417384,416519,410130,439396,3251,100
uplc-turbo,ping-pong-1,293161,289958,285653,356322,11554,100
uplc-turbo,ping-pong-2,287464,287772,283711,300545,2608,100
