vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
chrysalis,auction_1-1,196168,196234,195924,196346,218,3
chrysalis,auction_1-2,703574,704350,701625,704746,1699,3
chrysalis,auction_1-3,692228,690736,690394,695553,2885,3
chrysalis,auction_1-4,234227,234949,231728,236006,2228,3
chrysalis,auction_2-1,201111,201125,200991,201217,113,3
chrysalis,auction_2-2,699719,697128,693556,708474,7789,3
chrysalis,auction_2-3,864583,865864,861038,866849,3110,3
chrysalis,auction_2-4,694063,694957,690146,697084,3554,3
chrysalis,auction_2-5,233190,231962,231737,235871,2324,3
chrysalis,coop-1,201704,201724,201360,202029,334,3
chrysalis,coop-2,592055,590449,589572,596145,3568,3
chrysalis,coop-3,1936749,1939108,1926707,1944433,9095,3
chrysalis,coop-4,763155,763252,760339,765875,2769,3
chrysalis,coop-5,383061,382808,382705,383671,530,3
chrysalis,coop-6,525009,525540,523467,526021,1357,3
chrysalis,coop-7,276297,268271,266424,294194,15527,3
chrysalis,crowdfunding-success-1,229054,229167,228752,229244,264,3
chrysalis,crowdfunding-success-2,226501,226455,226027,227022,499,3
chrysalis,crowdfunding-success-3,228840,227634,227341,231546,2347,3
chrysalis,currency-1,288782,287945,285433,292968,3836,3
chrysalis,escrow-redeem_1-1,376250,375693,374880,378177,1717,3
chrysalis,escrow-redeem_1-2,379220,379317,377149,381194,2024,3
chrysalis,escrow-redeem_2-1,428031,429442,420290,434361,7140,3
chrysalis,escrow-redeem_2-2,429771,427660,426975,434676,4262,3
chrysalis,escrow-redeem_2-3,431959,432914,428814,434151,2793,3
chrysalis,escrow-refund-1,213816,213473,211751,216223,2255,3
chrysalis,future-increase-margin-1,285512,283857,283834,288845,2886,3
chrysalis,future-increase-margin-2,532562,532499,531824,533365,772,3
chrysalis,future-increase-margin-3,531892,531626,530729,533322,1316,3
chrysalis,future-increase-margin-4,604910,604277,602748,607706,2539,3
chrysalis,future-increase-margin-5,923938,924410,916937,930467,6777,3
chrysalis,future-pay-out-1,282838,282309,280716,285489,2429,3
chrysalis,future-pay-out-2,534649,531432,531231,541284,5747,3
chrysalis,future-pay-out-3,546196,548185,533262,557141,12063,3
chrysalis,future-pay-out-4,937264,936649,933614,941529,3993,3
chrysalis,future-settle-early-1,281792,282061,280922,282393,771,3
chrysalis,future-settle-early-2,549324,543265,539088,565619,14265,3
chrysalis,future-settle-early-3,532070,531164,530550,534497,2123,3
chrysalis,future-settle-early-4,739292,737340,736734,743801,3916,3
chrysalis,game-sm-success_1-1,469849,467830,467437,474280,3842,3
chrysalis,game-sm-success_1-2,201458,201737,200899,201739,484,3
chrysalis,game-sm-success_1-3,689914,689968,689720,690054,173,3
chrysalis,game-sm-success_1-4,224090,223596,222265,226409,2116,3
chrysalis,game-sm-success_2-1,467332,465799,462618,473579,5638,3
chrysalis,game-sm-success_2-2,203993,203168,202821,205989,1737,3
chrysalis,game-sm-success_2-3,682002,681310,679934,684762,2487,3
chrysalis,game-sm-success_2-4,223615,223988,222545,224314,941,3
chrysalis,game-sm-success_2-5,689377,684053,681685,702393,11334,3
chrysalis,game-sm-success_2-6,222769,222946,222044,223315,654,3
chrysalis,guardrail-sorted-large,394809,393870,393193,397365,2239,3
chrysalis,guardrail-sorted-small,97863,98869,95791,98928,1794,3
chrysalis,guardrail-unsorted-large,542722,541904,541678,544585,1616,3
chrysalis,guardrail-unsorted-small,94110,94098,93870,94362,246,3
chrysalis,multisig-sm-01,512042,513240,509416,513471,2277,3
chrysalis,multisig-sm-02,489866,485212,484195,500191,8956,3
chrysalis,multisig-sm-03,502955,502816,502493,503557,545,3
chrysalis,multisig-sm-04,495009,492841,491861,500325,4630,3
chrysalis,multisig-sm-05,644996,643849,643020,648119,2736,3
chrysalis,multisig-sm-06,532495,532055,531717,533712,1067,3
chrysalis,multisig-sm-07,501048,501802,498714,502629,2063,3
chrysalis,multisig-sm-08,493125,495252,487034,497089,5354,3
chrysalis,multisig-sm-09,494535,495268,491467,496870,2774,3
chrysalis,multisig-sm-10,663186,662458,661647,665453,2004,3
chrysalis,ping-pong_2-1,303592,303604,303502,303671,85,3
chrysalis,ping-pong-1,407974,407348,406988,409586,1407,3
chrysalis,ping-pong-2,418013,417881,416843,419316,1242,3
chrysalis,prism-1,176613,175862,175707,178268,1436,3
chrysalis,prism-2,487607,488527,485283,489011,2027,3
chrysalis,prism-3,388727,386094,382208,397879,8160,3
chrysalis,pubkey-1,154544,154490,154384,154758,192,3
chrysalis,stablecoin_1-1,1104871,1105066,1102387,1107159,2391,3
chrysalis,stablecoin_1-2,198401,198635,196866,199701,1431,3
chrysalis,stablecoin_1-3,1245234,1243747,1242566,1249390,3647,3
chrysalis,stablecoin_1-4,209647,209896,207705,211340,1830,3
chrysalis,stablecoin_1-5,1569968,1571138,1540447,1598320,28954,3
chrysalis,stablecoin_1-6,244050,243458,243266,245425,1194,3
chrysalis,stablecoin_2-1,1079593,1071558,1071233,1095988,14199,3
chrysalis,stablecoin_2-2,196369,196336,196292,196478,97,3
chrysalis,stablecoin_2-3,1211175,1211691,1209100,1212733,1870,3
chrysalis,stablecoin_2-4,208920,206906,206621,213233,3738,3
chrysalis,token-account-1,226332,226244,225541,227212,838,3
chrysalis,token-account-2,341553,340686,337655,346318,4396,3
chrysalis,uniswap-1,427205,428334,421935,431345,4805,3
chrysalis,uniswap-2,256771,256773,255214,258325,1555,3
chrysalis,uniswap-3,1571805,1570590,1570160,1574665,2486,3
chrysalis,uniswap-4,301145,300332,299773,303330,1912,3
chrysalis,uniswap-5,1080450,1079295,1078908,1083147,2343,3
chrysalis,uniswap-6,303355,302722,301021,306323,2707,3
chrysalis,vesting-1,390818,390081,389955,392417,1386,3
