vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
haskell,auction_1-1,85041,85041,84329,86650,4349,0
haskell,auction_1-2,327450,327450,324414,332085,15532,0
haskell,auction_1-3,321647,321647,317522,330449,24986,0
haskell,auction_1-4,110116,110116,109707,110610,2028,0
haskell,auction_2-1,88437,88437,87910,89176,2820,0
haskell,auction_2-2,321833,321833,319849,326833,12806,0
haskell,auction_2-3,421378,421378,418084,429168,21171,0
haskell,auction_2-4,311292,311292,309726,313252,7632,0
haskell,auction_2-5,110121,110121,109497,111167,3538,0
haskell,coop-1,111582,111582,111202,112245,2047,0
haskell,coop-2,365110,365110,361653,375387,24783,0
haskell,coop-3,1112642,1112642,1106909,1121844,31482,0
haskell,coop-4,480507,480507,477058,492189,25683,0
haskell,coop-5,198259,198259,197702,199137,2999,0
haskell,coop-6,360373,360373,345804,382418,73239,0
haskell,coop-7,155131,155131,154710,155667,2161,0
haskell,crowdfunding-success-1,103882,103882,103428,104658,2363,0
haskell,crowdfunding-success-2,103702,103702,102855,105651,5555,0
haskell,crowdfunding-success-3,102812,102812,102300,103831,2897,0
haskell,currency-1,124095,124095,123367,125392,3970,0
haskell,escrow-redeem_1-1,173590,173590,172500,174949,5079,0
haskell,escrow-redeem_1-2,174229,174229,172590,178462,10876,0
haskell,escrow-redeem_2-1,201011,201011,200099,202115,4509,0
haskell,escrow-redeem_2-2,201033,201033,199069,204782,11370,0
haskell,escrow-redeem_2-3,204214,204214,203183,205217,4342,0
haskell,escrow-refund-1,75230,75230,74952,75795,1711,0
haskell,future-increase-margin-1,123998,123998,123350,124787,3220,0
haskell,future-increase-margin-2,263269,263269,262210,264446,4645,0
haskell,future-increase-margin-3,267980,267980,265659,274221,15924,0
haskell,future-increase-margin-4,246975,246975,246251,248578,4476,0
haskell,future-increase-margin-5,424968,424968,422620,427961,12030,0
haskell,future-pay-out-1,122855,122855,122123,124107,4134,0
haskell,future-pay-out-2,269881,269881,267437,274315,14650,0
haskell,future-pay-out-3,263114,263114,261527,265490,7960,0
haskell,future-pay-out-4,424326,424326,422132,432752,15501,0
haskell,future-settle-early-1,123994,123994,122833,128409,8312,0
haskell,future-settle-early-2,257963,257963,257287,258967,3626,0
haskell,future-settle-early-3,273370,273370,269142,282882,26206,0
haskell,future-settle-early-4,317526,317526,315777,320715,9873,0
haskell,game-sm-success_1-1,198509,198509,197684,199427,4011,0
haskell,game-sm-success_1-2,95961,95961,95593,96869,2319,0
haskell,game-sm-success_1-3,323095,323095,319337,329542,20844,0
haskell,game-sm-success_1-4,112585,112585,111607,115075,6261,0
haskell,game-sm-success_2-1,203693,203693,201594,208314,12115,0
haskell,game-sm-success_2-2,95074,95074,94569,95984,2915,0
haskell,game-sm-success_2-3,312980,312980,311305,317855,10915,0
haskell,game-sm-success_2-4,112413,112413,111676,113278,3370,0
haskell,game-sm-success_2-5,315328,315328,312619,322954,16898,0
haskell,game-sm-success_2-6,111349,111349,109927,114072,8318,0
haskell,guardrail-sorted-large,213559,213559,211975,217592,10796,0
haskell,guardrail-sorted-small,32269,32269,31926,33341,2234,0
haskell,guardrail-unsorted-large,296192,296192,294307,299712,10902,0
haskell,guardrail-unsorted-small,33328,33328,32866,34553,2844,0
haskell,multisig-sm-01,204857,204857,203062,209098,10977,0
haskell,multisig-sm-02,201470,201470,200158,203558,7270,0
haskell,multisig-sm-03,194477,194477,193919,195209,2772,0
haskell,multisig-sm-04,203633,203633,201852,207398,10241,0
haskell,multisig-sm-05,287331,287331,285612,289199,7610,0
haskell,multisig-sm-06,208511,208511,206945,212491,10822,0
haskell,multisig-sm-07,204569,204569,203494,207774,7180,0
haskell,multisig-sm-08,200162,200162,199413,201043,3585,0
haskell,multisig-sm-09,200971,200971,199732,204676,8148,0
haskell,multisig-sm-10,279049,279049,277712,281799,7833,0
haskell,ping-pong-1,167900,167900,167109,168873,3833,0
haskell,ping-pong-2,167315,167315,166466,168656,4592,0
haskell,ping-pong_2-1,101816,101816,101273,102369,2443,0
haskell,prism-1,81627,81627,80876,83105,4357,0
haskell,prism-2,209317,209317,205431,216871,23048,0
haskell,prism-3,180229,180229,179704,181099,3030,0
haskell,pubkey-1,69594,69594,69080,70744,3215,0
haskell,stablecoin_1-1,502600,502600,499074,506240,15237,0
haskell,stablecoin_1-2,94911,94911,94513,95631,2206,0
haskell,stablecoin_1-3,560397,560397,556828,564097,15791,0
haskell,stablecoin_1-4,100387,100387,99698,101531,3662,0
haskell,stablecoin_1-5,704121,704121,700271,708764,17291,0
haskell,stablecoin_1-6,124015,124015,123368,125602,3957,0
haskell,stablecoin_2-1,492699,492699,489837,498374,16313,0
haskell,stablecoin_2-2,94885,94885,94300,95626,2776,0
haskell,stablecoin_2-3,561659,561659,558241,565219,15785,0
haskell,stablecoin_2-4,101052,101052,100010,105511,7398,0
haskell,token-account-1,94183,94183,92830,97510,8067,0
haskell,token-account-2,162475,162475,161402,167209,7668,0
haskell,uniswap-1,194517,194517,193742,195634,3746,0
haskell,uniswap-2,106574,106574,106144,107266,2182,0
haskell,uniswap-3,877277,877277,870115,889519,40145,0
haskell,uniswap-4,161283,161283,159903,163579,7580,0
haskell,uniswap-5,570304,570304,567751,574692,14324,0
haskell,uniswap-6,153080,153080,151746,155460,7038,0
haskell,vesting-1,177117,177117,174557,182281,15217,0
