"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: file"
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,36.624306,NaN,"us/op",auction_1-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,969.138844,NaN,"us/op",auction_1-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,748.578240,NaN,"us/op",auction_1-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,43.922160,NaN,"us/op",auction_1-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,34.061998,NaN,"us/op",auction_2-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,1082.084353,NaN,"us/op",auction_2-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,1036.985211,NaN,"us/op",auction_2-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,727.775083,NaN,"us/op",auction_2-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,50.414202,NaN,"us/op",auction_2-5.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,37.124631,NaN,"us/op",crowdfunding-success-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,37.163274,NaN,"us/op",crowdfunding-success-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,38.748311,NaN,"us/op",crowdfunding-success-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,36.908766,NaN,"us/op",currency-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,102.650858,NaN,"us/op",escrow-redeem_1-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,71.475294,NaN,"us/op",escrow-redeem_1-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,81.629032,NaN,"us/op",escrow-redeem_2-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,103.589603,NaN,"us/op",escrow-redeem_2-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,87.224141,NaN,"us/op",escrow-redeem_2-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,19.342916,NaN,"us/op",escrow-refund-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,37.854946,NaN,"us/op",future-increase-margin-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,127.434987,NaN,"us/op",future-increase-margin-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,119.031095,NaN,"us/op",future-increase-margin-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,806.733876,NaN,"us/op",future-increase-margin-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,2266.902745,NaN,"us/op",future-increase-margin-5.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,44.797880,NaN,"us/op",future-pay-out-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,119.536964,NaN,"us/op",future-pay-out-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,127.514905,NaN,"us/op",future-pay-out-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,1574.538594,NaN,"us/op",future-pay-out-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,39.482657,NaN,"us/op",future-settle-early-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,135.224816,NaN,"us/op",future-settle-early-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,122.044613,NaN,"us/op",future-settle-early-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,1531.153734,NaN,"us/op",future-settle-early-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,486.542813,NaN,"us/op",game-sm-success_1-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,34.016466,NaN,"us/op",game-sm-success_1-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,630.874091,NaN,"us/op",game-sm-success_1-3.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,40.866250,NaN,"us/op",game-sm-success_1-4.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,459.599869,NaN,"us/op",game-sm-success_2-1.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,36.617105,NaN,"us/op",game-sm-success_2-2.flat
"scalus.uplc.eval.JITHybridBenchmark.benchJIT_Hybrid","avgt",1,1,669.712678,NaN,"us/op",game-sm-success_2-3.flat
