vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
blaze-jsc,auction_1-1,592000,592000,482500,1670500,10123,845
blaze-v8,auction_1-1,580400,580400,479100,1526500,9460,863
chrysalis,auction_1-1,196168,196234,195924,196346,218,3
chrysalis-aot,auction_1-1,195406,195592,193606,197019,1714,3
haskell,auction_1-1,85041,85041,84329,86650,4349,0
opshin,auction_1-1,91390000,91390000,87480000,111170000,7430000,22
plutigo,auction_1-1,789856,789856,0,0,0,7502
plutuz,auction_1-1,202527,195129,188794,335036,15799,10000
scalus-cek,auction_1-1,131344,131344,131344,131344,0,1
scalus-jit,auction_1-1,36624,36624,36624,36624,0,1
uplc-turbo,auction_1-1,155541,152729,150824,189892,7537,100
uplc-turbo-bc,auction_1-1,109742,109323,106175,140746,3525,100
blaze-jsc,auction_1-2,1962700,1962700,1526700,3447900,50833,255
blaze-v8,auction_1-2,1950000,1950000,1528200,3258800,48360,257
chrysalis,auction_1-2,703574,704350,701625,704746,1699,3
chrysalis-aot,auction_1-2,699378,699265,697613,701255,1823,3
haskell,auction_1-2,327450,327450,324414,332085,15532,0
opshin,auction_1-2,342720000,342720000,326690000,406300000,19580000,20
plutigo,auction_1-2,2619006,2619006,0,0,0,2301
plutuz,auction_1-2,634343,629730,592843,1279438,37415,7883
scalus-cek,auction_1-2,514608,514608,514608,514608,0,1
scalus-jit,auction_1-2,969138,969138,969138,969138,0,1
uplc-turbo,auction_1-2,431238,427780,423538,468035,6779,100
uplc-turbo-bc,auction_1-2,365293,358769,353219,446870,19064,100
blaze-jsc,auction_1-3,1942900,1942900,1520200,3128100,47018,258
blaze-v8,auction_1-3,1982400,1982400,1540700,3102900,49560,253
chrysalis,auction_1-3,692228,690736,690394,695553,2885,3
chrysalis-aot,auction_1-3,702837,704442,693265,710805,8879,3
haskell,auction_1-3,321647,321647,317522,330449,24986,0
opshin,auction_1-3,338080000,338080000,325730000,372740000,13090000,20
plutigo,auction_1-3,2607809,2607809,0,0,0,2319
plutuz,auction_1-3,615942,609886,582359,1070583,30625,8118
scalus-cek,auction_1-3,514909,514909,514909,514909,0,1
scalus-jit,auction_1-3,748578,748578,748578,748578,0,1
uplc-turbo,auction_1-3,425806,424756,420327,460799,5822,100
uplc-turbo-bc,auction_1-3,348326,344539,339662,433067,14312,100
blaze-jsc,auction_1-4,719700,719700,606000,1893700,12018,695
blaze-v8,auction_1-4,739700,739700,615100,1265200,11391,676
chrysalis,auction_1-4,234227,234949,231728,236006,2228,3
chrysalis-aot,auction_1-4,224899,225087,223713,225899,1104,3
haskell,auction_1-4,110116,110116,109707,110610,2028,0
opshin,auction_1-4,108650000,108650000,105500000,127260000,6190000,20
plutigo,auction_1-4,1010376,1010376,0,0,0,6001
plutuz,auction_1-4,231814,227059,221617,515781,11328,10000
scalus-cek,auction_1-4,167255,167255,167255,167255,0,1
scalus-jit,auction_1-4,43922,43922,43922,43922,0,1
uplc-turbo,auction_1-4,184314,184149,182581,193200,1216,100
uplc-turbo-bc,auction_1-4,139147,138511,137513,148010,1821,100
blaze-jsc,auction_2-1,574400,574400,477000,1316800,8845,871
blaze-v8,auction_2-1,586500,586500,481100,1374800,9032,853
chrysalis,auction_2-1,201111,201125,200991,201217,113,3
chrysalis-aot,auction_2-1,193155,193893,191428,194143,1500,3
haskell,auction_2-1,88437,88437,87910,89176,2820,0
opshin,auction_2-1,92060000,92060000,87960000,121940000,7830000,22
plutigo,auction_2-1,793769,793769,0,0,0,7376
plutuz,auction_2-1,198351,193996,189652,676200,11291,10000
scalus-cek,auction_2-1,131201,131201,131201,131201,0,1
scalus-jit,auction_2-1,34061,34061,34061,34061,0,1
uplc-turbo,auction_2-1,152403,152025,150236,160176,1785,100
uplc-turbo-bc,auction_2-1,108429,107451,106607,140578,4161,100
blaze-jsc,auction_2-2,1841900,1841900,1476400,2631600,41626,272
blaze-v8,auction_2-2,1993500,1993500,1555800,4336200,54023,251
chrysalis,auction_2-2,699719,697128,693556,708474,7789,3
chrysalis-aot,auction_2-2,685833,686283,684537,686680,1140,3
haskell,auction_2-2,321833,321833,319849,326833,12806,0
opshin,auction_2-2,338170000,338170000,326990000,361180000,9970000,20
plutigo,auction_2-2,2611341,2611341,0,0,0,2308
plutuz,auction_2-2,629924,621501,595314,1173648,30985,7938
scalus-cek,auction_2-2,528344,528344,528344,528344,0,1
scalus-jit,auction_2-2,1082084,1082084,1082084,1082084,0,1
uplc-turbo,auction_2-2,432477,429491,421262,530944,12382,100
uplc-turbo-bc,auction_2-2,353209,351302,339495,449059,15709,100
blaze-jsc,auction_2-3,2369900,2369900,1853400,4081000,55455,211
blaze-v8,auction_2-3,2418700,2418700,1923100,3354700,54420,207
chrysalis,auction_2-3,864583,865864,861038,866849,3110,3
chrysalis-aot,auction_2-3,866352,863300,862768,872987,5752,3
haskell,auction_2-3,421378,421378,418084,429168,21171,0
opshin,auction_2-3,421700000,421700000,410540000,444220000,9920000,20
plutigo,auction_2-3,3314744,3314744,0,0,0,1784
plutuz,auction_2-3,750950,747762,710365,1425367,34542,6659
scalus-cek,auction_2-3,684646,684646,684646,684646,0,1
scalus-jit,auction_2-3,1036985,1036985,1036985,1036985,0,1
uplc-turbo,auction_2-3,515630,516635,504563,532611,6734,100
uplc-turbo-bc,auction_2-3,436473,434872,430627,478405,6142,100
blaze-jsc,auction_2-4,1851300,1851300,1484400,2716000,41469,271
blaze-v8,auction_2-4,1926500,1926500,1517600,3829500,48933,260
chrysalis,auction_2-4,694063,694957,690146,697084,3554,3
chrysalis-aot,auction_2-4,696744,695741,695308,699183,2123,3
haskell,auction_2-4,311292,311292,309726,313252,7632,0
opshin,auction_2-4,337430000,337430000,326350000,354380000,10080000,20
plutigo,auction_2-4,2633229,2633229,0,0,0,2264
plutuz,auction_2-4,616456,611583,584981,1941520,28456,8111
scalus-cek,auction_2-4,516400,516400,516400,516400,0,1
scalus-jit,auction_2-4,727775,727775,727775,727775,0,1
uplc-turbo,auction_2-4,435589,429935,423125,532611,16735,100
uplc-turbo-bc,auction_2-4,352432,351557,340169,397256,9807,100
blaze-jsc,auction_2-5,713600,713600,607500,1311200,10632,701
