vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
uplc-turbo-bc,auction_1-1,109742,109323,106175,140746,3525,100
uplc-turbo-bc,auction_1-2,365293,358769,353219,446870,19064,100
uplc-turbo-bc,auction_1-3,348326,344539,339662,433067,14312,100
uplc-turbo-bc,auction_1-4,139147,138511,137513,148010,1821,100
uplc-turbo-bc,auction_2-1,108429,107451,106607,140578,4161,100
uplc-turbo-bc,auction_2-2,353209,351302,339495,449059,15709,100
uplc-turbo-bc,auction_2-3,436473,434872,430627,478405,6142,100
uplc-turbo-bc,auction_2-4,352432,351557,340169,397256,9807,100
uplc-turbo-bc,auction_2-5,143157,139272,138153,186055,9153,100
uplc-turbo-bc,coop-1,143771,143489,138281,151699,2896,100
uplc-turbo-bc,coop-2,485931,483575,468551,626072,21916,100
uplc-turbo-bc,coop-3,1290844,1287327,1267725,1573021,30047,100
uplc-turbo-bc,coop-4,528855,528194,522988,576190,5957,100
uplc-turbo-bc,coop-5,246494,242634,239833,316200,9010,100
uplc-turbo-bc,coop-6,446610,434763,432343,578210,31637,100
uplc-turbo-bc,coop-7,200874,199760,198526,216610,2881,100
uplc-turbo-bc,crowdfunding-success-1,126939,125036,124082,158162,4828,100
uplc-turbo-bc,crowdfunding-success-2,125954,125139,123524,135915,2142,100
uplc-turbo-bc,crowdfunding-success-3,128738,125418,124472,166030,8278,100
uplc-turbo-bc,currency-1,144210,142291,139213,182212,5838,100
uplc-turbo-bc,escrow-redeem_1-1,198570,197700,196658,219435,3368,100
uplc-turbo-bc,escrow-redeem_1-2,198414,196704,194679,218314,4448,100
uplc-turbo-bc,escrow-redeem_2-1,231124,228561,226765,242301,4263,100
uplc-turbo-bc,escrow-redeem_2-2,233062,230645,227382,269561,6122,100
uplc-turbo-bc,escrow-redeem_2-3,229410,228130,225977,290235,6912,100
uplc-turbo-bc,escrow-refund-1,94031,92908,91719,103327,2404,100
uplc-turbo-bc,future-increase-margin-1,146255,142859,141113,180446,7528,100
uplc-turbo-bc,future-increase-margin-2,299026,298463,297251,314750,2143,100
uplc-turbo-bc,future-increase-margin-3,300022,298876,297575,344429,5246,100
uplc-turbo-bc,future-increase-margin-4,271655,270558,268256,297041,4074,100
uplc-turbo-bc,future-increase-margin-5,441717,440307,436223,509202,9494,100
uplc-turbo-bc,future-pay-out-1,144339,142849,141661,158458,2924,100
uplc-turbo-bc,future-pay-out-2,305924,302227,298408,366338,8697,100
uplc-turbo-bc,future-pay-out-3,302158,300450,297988,338795,5219,100
uplc-turbo-bc,future-pay-out-4,441949,439513,436631,564481,14574,100
uplc-turbo-bc,future-settle-early-1,142894,142311,138808,149744,2140,100
uplc-turbo-bc,future-settle-early-2,312362,301472,297907,389242,26579,100
uplc-turbo-bc,future-settle-early-3,300872,299497,296241,329060,4934,100
uplc-turbo-bc,future-settle-early-4,343663,340590,333445,376504,6961,100
uplc-turbo-bc,game-sm-success_1-1,223107,220602,217304,233253,4349,100
uplc-turbo-bc,game-sm-success_1-2,121944,120858,118295,163215,5007,100
uplc-turbo-bc,game-sm-success_1-3,351066,347819,341764,449029,15289,100
