vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
blaze-jsc,auction_1-1,537400,537400,437500,1437100,8383,931
blaze-jsc,auction_1-2,1719800,1719800,1355000,3036700,39211,291
blaze-jsc,auction_1-3,1752300,1752300,1357800,2779600,42055,286
blaze-jsc,auction_1-4,676200,676200,554100,1254300,9804,740
blaze-jsc,auction_2-1,533500,533500,440200,1275200,7575,938
blaze-jsc,auction_2-2,1739700,1739700,1384100,3032700,40187,288
blaze-jsc,auction_2-3,2225600,2225600,1740000,3172900,48963,225
blaze-jsc,auction_2-4,1751300,1751300,1374100,2932500,40455,286
blaze-jsc,auction_2-5,668800,668800,552800,1256600,9831,748
blaze-jsc,coop-1,793700,793700,613600,2411300,21588,630
blaze-jsc,coop-2,2432500,2432500,1993200,3417900,46460,206
blaze-jsc,coop-3,5592900,5592900,5118100,6233800,58725,90
blaze-jsc,coop-4,2851900,2851900,2307200,3858400,48482,176
blaze-jsc,coop-5,1404000,1404000,1078700,3827900,37627,357
blaze-jsc,coop-6,2158400,2158400,1771400,3050800,39282,232
blaze-jsc,coop-7,1091600,1091600,877900,3307900,26307,459
blaze-jsc,crowdfunding-success-1,633000,633000,522000,1461600,10634,791
blaze-jsc,crowdfunding-success-2,619700,619700,518200,1234000,9481,807
blaze-jsc,crowdfunding-success-3,626100,626100,517700,1551600,10330,799
blaze-jsc,currency-1,678500,678500,562100,1589000,10991,737
blaze-jsc,escrow-redeem_1-1,983100,983100,793300,1893400,18187,509
blaze-jsc,escrow-redeem_1-2,965500,965500,794600,1809400,16799,518
blaze-jsc,escrow-redeem_2-1,1104500,1104500,904000,1880100,19439,453
blaze-jsc,escrow-redeem_2-2,1102500,1102500,913500,1772500,18742,454
blaze-jsc,escrow-redeem_2-3,1104700,1104700,911400,2045999,18779,453
blaze-jsc,escrow-refund-1,517400,517400,419300,1613900,9313,967
blaze-jsc,future-increase-margin-1,677100,677100,560400,1270100,10359,739
blaze-jsc,future-increase-margin-2,1418600,1418600,1178800,2245300,24541,353
blaze-jsc,future-increase-margin-3,1432700,1432700,1174300,2266600,26648,349
blaze-jsc,future-increase-margin-4,1437200,1437200,1200000,2333200,20839,349
blaze-jsc,future-increase-margin-5,3545800,3545800,2876100,4870100,78716,142
blaze-jsc,future-pay-out-1,703500,703500,570700,1534700,11889,711
blaze-jsc,future-pay-out-2,1455200,1455200,1184200,2267500,27066,344
blaze-jsc,future-pay-out-3,1465800,1465800,1191300,2202800,27117,342
blaze-jsc,future-pay-out-4,3502700,3502700,2891300,4492600,74607,143
blaze-jsc,future-settle-early-1,694700,694700,567300,1259800,11184,720
blaze-jsc,future-settle-early-2,1435300,1435300,1167900,2407900,26983,349
blaze-jsc,future-settle-early-3,1425000,1425000,1182600,2111000,24795,352
blaze-jsc,future-settle-early-4,2941900,2941900,2454600,4108600,66192,171
blaze-jsc,game-sm-success_1-1,1234800,1234800,971000,2535300,29758,405
blaze-jsc,game-sm-success_1-2,574000,574000,488200,1112600,7002,872
blaze-jsc,game-sm-success_1-3,1855900,1855900,1470700,2975600,45098,270
blaze-jsc,game-sm-success_1-4,691300,691300,576900,1228500,9954,724
blaze-jsc,game-sm-success_2-1,1239400,1239400,962800,2515100,29993,404
blaze-jsc,game-sm-success_2-2,578900,578900,492300,1184000,7178,864
blaze-jsc,game-sm-success_2-3,1849600,1849600,1456100,2964900,43835,271
blaze-jsc,game-sm-success_2-4,685700,685700,571400,1562000,9942,730
blaze-jsc,game-sm-success_2-5,1836500,1836500,1432600,2726100,41872,273
blaze-jsc,game-sm-success_2-6,682700,682700,574600,1497400,9967,733
blaze-jsc,guardrail-sorted-large,1482000,1482000,1166300,4162200,33493,338
blaze-jsc,guardrail-sorted-small,315100,315100,214500,2394300,12635,1587
blaze-jsc,guardrail-unsorted-large,1895100,1895100,1569900,5755700,42260,264
blaze-jsc,guardrail-unsorted-small,337500,337500,208700,3495300,15795,1482
blaze-jsc,multisig-sm-01,1278900,1278900,1005200,2410600,31844,392
blaze-jsc,multisig-sm-02,1257700,1257700,999900,2358500,30184,398
blaze-jsc,multisig-sm-03,1271000,1271000,1018600,2490100,31647,394
blaze-jsc,multisig-sm-04,1307200,1307200,1028500,2472600,33725,383
blaze-jsc,multisig-sm-05,1650200,1650200,1331500,2605900,35479,303
blaze-jsc,multisig-sm-06,1281400,1281400,1003700,2570000,32035,391
blaze-jsc,multisig-sm-07,1235500,1235500,996800,2520200,28045,405
blaze-jsc,multisig-sm-08,1256600,1256600,1000200,2419000,29781,398
blaze-jsc,multisig-sm-09,1286200,1286200,1000400,2602400,32412,389
blaze-jsc,multisig-sm-10,1665200,1665200,1311700,2571100,35635,301
blaze-jsc,ping-pong-1,1033500,1033500,802400,1891500,22737,484
blaze-jsc,ping-pong-2,1039600,1039600,815200,2247200,24534,482
blaze-jsc,ping-pong_2-1,726900,726900,571300,1824700,16791,688
blaze-jsc,prism-1,497300,497300,419900,1459400,6813,1006
blaze-jsc,prism-2,1220900,1220900,1030200,2235800,22342,410
blaze-jsc,prism-3,1002999,1002999,829400,1696100,16248,499
blaze-jsc,pubkey-1,432600,432600,360500,983500,5623,1156
blaze-jsc,stablecoin_1-1,5254000,5254000,4442600,7323400,117164,96
blaze-jsc,stablecoin_1-2,582400,582400,485900,1163100,8037,859
blaze-jsc,stablecoin_1-3,5696900,5696900,4878300,6941400,114507,88
blaze-jsc,stablecoin_1-4,627100,627100,516700,1419300,9155,798
blaze-jsc,stablecoin_1-5,6658100,6658100,5647200,7417300,88552,76
blaze-jsc,stablecoin_1-6,740100,740100,622700,1489600,10139,676
blaze-jsc,stablecoin_2-1,5085100,5085100,4326900,6237100,98650,99
blaze-jsc,stablecoin_2-2,570900,570900,484800,1139900,7707,876
blaze-jsc,stablecoin_2-3,5531200,5531200,4764400,6985300,107858,91
blaze-jsc,stablecoin_2-4,608100,608100,512700,1248600,8635,823
blaze-jsc,token-account-1,562000,562000,453700,1432300,9610,890
blaze-jsc,token-account-2,863700,863700,730200,1554900,11832,579
blaze-jsc,uniswap-1,1050800,1050800,872200,1973500,17338,476
blaze-jsc,uniswap-2,658000,658000,541000,1378300,10264,760
blaze-jsc,uniswap-3,4963600,4963600,4543300,5874700,49636,101
