vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
blaze-v8,auction_1-1,541000,541000,438600,1244300,8169,925
blaze-v8,auction_1-2,1834600,1834600,1372300,4008000,51735,273
blaze-v8,auction_1-3,1805100,1805100,1378000,3291600,47654,278
blaze-v8,auction_1-4,676600,676600,554000,1357200,10419,739
blaze-v8,auction_2-1,527400,527400,437900,1169400,7700,949
blaze-v8,auction_2-2,1757100,1757100,1383000,2633900,39710,285
blaze-v8,auction_2-3,2243800,2243800,1754700,3487100,52280,223
blaze-v8,auction_2-4,1737200,1737200,1384300,2737300,38565,288
blaze-v8,auction_2-5,672300,672300,551300,1410300,10218,744
blaze-v8,coop-1,735500,735500,626100,1656400,9929,680
blaze-v8,coop-2,2428400,2428400,2027400,3444400,41039,206
blaze-v8,coop-3,5883900,5883900,5327600,6876400,65311,85
blaze-v8,coop-4,2879300,2879300,2388600,3898200,48660,174
blaze-v8,coop-5,1309400,1309400,1092100,2311600,22652,382
blaze-v8,coop-6,2100200,2100200,1824400,2725900,25202,239
blaze-v8,coop-7,1024600,1024600,892400,1707800,12397,488
blaze-v8,crowdfunding-success-1,634100,634100,529700,1293600,9511,789
blaze-v8,crowdfunding-success-2,635700,635700,529900,1291500,9154,787
blaze-v8,crowdfunding-success-3,634000,634000,530800,1431300,9383,789
blaze-v8,currency-1,689300,689300,572400,1346600,9925,726
blaze-v8,escrow-redeem_1-1,994300,994300,812000,2075300,17499,503
blaze-v8,escrow-redeem_1-2,992100,992100,813600,1834500,16766,504
blaze-v8,escrow-redeem_2-1,1142000,1142000,949700,1846200,19071,438
blaze-v8,escrow-redeem_2-2,1126400,1126400,940100,1757400,18698,444
blaze-v8,escrow-redeem_2-3,1133300,1133300,938300,1922500,19379,442
blaze-v8,escrow-refund-1,525400,525400,426000,1540500,9299,952
blaze-v8,future-increase-margin-1,707300,707300,571200,1734800,11528,707
blaze-v8,future-increase-margin-2,1468800,1468800,1192000,2430100,27172,341
blaze-v8,future-increase-margin-3,1456400,1456400,1211200,2327800,25195,344
blaze-v8,future-increase-margin-4,1431300,1431300,1228700,1960500,19465,350
blaze-v8,future-increase-margin-5,3502000,3502000,2845800,4731500,76343,143
blaze-v8,future-pay-out-1,702000,702000,575000,1574700,11583,713
blaze-v8,future-pay-out-2,1455400,1455400,1199600,2414900,26051,344
blaze-v8,future-pay-out-3,1458200,1458200,1197300,2404800,27268,343
blaze-v8,future-pay-out-4,3697800,3697800,2849300,7313900,133120,136
blaze-v8,future-settle-early-1,700900,700900,578400,1482600,11004,714
blaze-v8,future-settle-early-2,1453800,1453800,1208400,2238700,25296,344
blaze-v8,future-settle-early-3,1477000,1477000,1206000,2296300,27324,339
blaze-v8,future-settle-early-4,2953700,2953700,2463800,4113800,64686,170
blaze-v8,game-sm-success_1-1,1262400,1262400,993000,2051200,29666,397
blaze-v8,game-sm-success_1-2,583000,583000,497900,1441000,7287,858
blaze-v8,game-sm-success_1-3,1894000,1894000,1484100,2896000,43940,264
blaze-v8,game-sm-success_1-4,691400,691400,579000,1255300,9748,724
blaze-v8,game-sm-success_2-1,1246100,1246100,991400,2092900,27788,402
blaze-v8,game-sm-success_2-2,587800,587800,499600,1509800,7406,853
blaze-v8,game-sm-success_2-3,1862100,1862100,1481500,2956100,41897,269
blaze-v8,game-sm-success_2-4,686200,686200,579900,1488200,9538,729
blaze-v8,game-sm-success_2-5,1866100,1866100,1472400,3184700,42733,268
blaze-v8,game-sm-success_2-6,687700,687700,578400,1329100,9421,728
blaze-v8,guardrail-sorted-large,1443100,1443100,1198100,2224400,22800,347
blaze-v8,guardrail-sorted-small,262400,262400,217000,923300,3437,1906
blaze-v8,guardrail-unsorted-large,1881300,1881300,1575100,2542400,26150,266
blaze-v8,guardrail-unsorted-small,261200,261200,210700,1064200,3813,1915
blaze-v8,multisig-sm-01,1311800,1311800,1030300,2949200,33057,382
blaze-v8,multisig-sm-02,1280100,1280100,1024600,2165700,29570,391
blaze-v8,multisig-sm-03,1297800,1297800,1034400,2444400,31147,386
blaze-v8,multisig-sm-04,1312400,1312400,1040800,2390200,32547,381
blaze-v8,multisig-sm-05,1699800,1699800,1345200,2752200,38075,295
blaze-v8,multisig-sm-06,1307600,1307600,1027099,2485200,33082,383
blaze-v8,multisig-sm-07,1269100,1269100,1017200,2299500,28427,395
blaze-v8,multisig-sm-08,1280000,1280000,1025800,2442900,29824,391
blaze-v8,multisig-sm-09,1295800,1295800,1035199,2958700,31747,386
blaze-v8,multisig-sm-10,1702200,1702200,1361700,2567200,36937,294
blaze-v8,ping-pong-1,1055800,1055800,834800,2159700,23122,474
blaze-v8,ping-pong-2,1057400,1057400,846200,2039200,23368,473
blaze-v8,ping-pong_2-1,739500,739500,577600,1905700,17082,677
blaze-v8,prism-1,502100,502100,426800,1206300,6677,996
blaze-v8,prism-2,1249100,1249100,1049500,2264900,23607,401
blaze-v8,prism-3,1020000,1020000,855200,1702900,15912,491
blaze-v8,pubkey-1,430500,430500,367300,888300,5252,1162
blaze-v8,stablecoin_1-1,5248500,5248500,4428300,6792200,110218,96
blaze-v8,stablecoin_1-2,586700,586700,492800,1266300,8037,853
blaze-v8,stablecoin_1-3,5702500,5702500,4818400,7483200,126595,88
blaze-v8,stablecoin_1-4,622400,622400,520300,1321100,8775,804
blaze-v8,stablecoin_1-5,6796900,6796900,5671200,8032500,108070,74
blaze-v8,stablecoin_1-6,750000,750000,633200,1431100,10125,667
blaze-v8,stablecoin_2-1,5143500,5143500,4406400,7311300,110585,98
blaze-v8,stablecoin_2-2,588600,588600,497500,1032700,8122,850
blaze-v8,stablecoin_2-3,5602500,5602500,4785700,6688100,110929,90
blaze-v8,stablecoin_2-4,623900,623900,520700,1452300,9046,802
blaze-v8,token-account-1,566600,566600,466600,1322800,9348,883
blaze-v8,token-account-2,883100,883100,750800,1954500,12893,567
