vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
scalus-cek,auction_1-1,123904,123904,123904,123904,0,1
scalus-cek,auction_1-2,484891,484891,484891,484891,0,1
scalus-cek,auction_1-3,488437,488437,488437,488437,0,1
scalus-cek,auction_1-4,155305,155305,155305,155305,0,1
scalus-cek,auction_2-1,125902,125902,125902,125902,0,1
scalus-cek,auction_2-2,485450,485450,485450,485450,0,1
scalus-cek,auction_2-3,652204,652204,652204,652204,0,1
scalus-cek,auction_2-4,488681,488681,488681,488681,0,1
scalus-cek,auction_2-5,156318,156318,156318,156318,0,1
scalus-cek,coop-1,154853,154853,154853,154853,0,1
scalus-cek,coop-2,503501,503501,503501,503501,0,1
scalus-cek,coop-3,1755494,1755494,1755494,1755494,0,1
scalus-cek,coop-4,664150,664150,664150,664150,0,1
scalus-cek,coop-5,269816,269816,269816,269816,0,1
scalus-cek,coop-6,467338,467338,467338,467338,0,1
scalus-cek,coop-7,216988,216988,216988,216988,0,1
scalus-cek,crowdfunding-success-1,144665,144665,144665,144665,0,1
scalus-cek,crowdfunding-success-2,140896,140896,140896,140896,0,1
scalus-cek,crowdfunding-success-3,143182,143182,143182,143182,0,1
scalus-cek,currency-1,185713,185713,185713,185713,0,1
scalus-cek,escrow-redeem_1-1,254188,254188,254188,254188,0,1
scalus-cek,escrow-redeem_1-2,252619,252619,252619,252619,0,1
scalus-cek,escrow-redeem_2-1,297955,297955,297955,297955,0,1
scalus-cek,escrow-redeem_2-2,294976,294976,294976,294976,0,1
scalus-cek,escrow-redeem_2-3,294460,294460,294460,294460,0,1
scalus-cek,escrow-refund-1,110647,110647,110647,110647,0,1
scalus-cek,future-increase-margin-1,183774,183774,183774,183774,0,1
scalus-cek,future-increase-margin-2,407629,407629,407629,407629,0,1
scalus-cek,future-increase-margin-3,396714,396714,396714,396714,0,1
scalus-cek,future-increase-margin-4,370288,370288,370288,370288,0,1
scalus-cek,future-increase-margin-5,652579,652579,652579,652579,0,1
scalus-cek,future-pay-out-1,186572,186572,186572,186572,0,1
scalus-cek,future-pay-out-2,396682,396682,396682,396682,0,1
scalus-cek,future-pay-out-3,407504,407504,407504,407504,0,1
scalus-cek,future-pay-out-4,663044,663044,663044,663044,0,1
scalus-cek,future-settle-early-1,185650,185650,185650,185650,0,1
scalus-cek,future-settle-early-2,397083,397083,397083,397083,0,1
scalus-cek,future-settle-early-3,402792,402792,402792,402792,0,1
scalus-cek,future-settle-early-4,513809,513809,513809,513809,0,1
scalus-cek,game-sm-success_1-1,287350,287350,287350,287350,0,1
scalus-cek,game-sm-success_1-2,140250,140250,140250,140250,0,1
scalus-cek,game-sm-success_1-3,479278,479278,479278,479278,0,1
scalus-cek,game-sm-success_1-4,158453,158453,158453,158453,0,1
scalus-cek,game-sm-success_2-1,276713,276713,276713,276713,0,1
scalus-cek,game-sm-success_2-2,137309,137309,137309,137309,0,1
scalus-cek,game-sm-success_2-3,484537,484537,484537,484537,0,1
scalus-cek,game-sm-success_2-4,160202,160202,160202,160202,0,1
scalus-cek,game-sm-success_2-5,479450,479450,479450,479450,0,1
scalus-cek,game-sm-success_2-6,160633,160633,160633,160633,0,1
scalus-cek,guardrail-sorted-large,389101,389101,389101,389101,0,1
scalus-cek,guardrail-sorted-small,51322,51322,51322,51322,0,1
scalus-cek,guardrail-unsorted-large,559527,559527,559527,559527,0,1
scalus-cek,guardrail-unsorted-small,47553,47553,47553,47553,0,1
scalus-cek,multisig-sm-01,297518,297518,297518,297518,0,1
scalus-cek,multisig-sm-02,286260,286260,286260,286260,0,1
scalus-cek,multisig-sm-03,287115,287115,287115,287115,0,1
scalus-cek,multisig-sm-04,292048,292048,292048,292048,0,1
scalus-cek,multisig-sm-05,426870,426870,426870,426870,0,1
scalus-cek,multisig-sm-06,297841,297841,297841,297841,0,1
scalus-cek,multisig-sm-07,289975,289975,289975,289975,0,1
scalus-cek,multisig-sm-08,290088,290088,290088,290088,0,1
