"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: file"
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,110.700321,NaN,"us/op",auction_1-1.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,396.787532,NaN,"us/op",auction_1-2.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,389.107911,NaN,"us/op",auction_1-3.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,148.437042,NaN,"us/op",auction_1-4.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,101.455905,NaN,"us/op",auction_2-1.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,398.253975,NaN,"us/op",auction_2-2.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,524.262001,NaN,"us/op",auction_2-3.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,411.858419,NaN,"us/op",auction_2-4.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,147.288242,NaN,"us/op",auction_2-5.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,154.829385,NaN,"us/op",coop-1.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,487.267455,NaN,"us/op",coop-2.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,1485.438876,NaN,"us/op",coop-3.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,804.625676,NaN,"us/op",coop-4.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,265.739513,NaN,"us/op",coop-5.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,464.076766,NaN,"us/op",coop-6.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,222.792775,NaN,"us/op",coop-7.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,126.900535,NaN,"us/op",crowdfunding-success-1.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,122.497234,NaN,"us/op",crowdfunding-success-2.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,127.010266,NaN,"us/op",crowdfunding-success-3.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,156.735909,NaN,"us/op",currency-1.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,215.522212,NaN,"us/op",escrow-redeem_1-1.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,204.728725,NaN,"us/op",escrow-redeem_1-2.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,242.337347,NaN,"us/op",escrow-redeem_2-1.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,249.937368,NaN,"us/op",escrow-redeem_2-2.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,239.540079,NaN,"us/op",escrow-redeem_2-3.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,92.477604,NaN,"us/op",escrow-refund-1.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,154.886648,NaN,"us/op",future-increase-margin-1.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,319.846825,NaN,"us/op",future-increase-margin-2.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,325.573358,NaN,"us/op",future-increase-margin-3.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,323.183946,NaN,"us/op",future-increase-margin-4.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,552.201526,NaN,"us/op",future-increase-margin-5.flat
"com.bloxbean.cardano.julc.benchmark.CekJavaBenchmark.bench","avgt",1,1,148.526106,NaN,"us/op",future-pay-out-1.flat
