vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
julc-java,auction_1-1,110700,110700,110700,110700,0,1
julc-java,auction_1-2,396787,396787,396787,396787,0,1
julc-java,auction_1-3,389107,389107,389107,389107,0,1
julc-java,auction_1-4,148437,148437,148437,148437,0,1
julc-java,auction_2-1,101455,101455,101455,101455,0,1
julc-java,auction_2-2,398253,398253,398253,398253,0,1
julc-java,auction_2-3,524262,524262,524262,524262,0,1
julc-java,auction_2-4,411858,411858,411858,411858,0,1
julc-java,auction_2-5,147288,147288,147288,147288,0,1
julc-java,coop-1,154829,154829,154829,154829,0,1
julc-java,coop-2,487267,487267,487267,487267,0,1
julc-java,coop-3,1485438,1485438,1485438,1485438,0,1
julc-java,coop-4,804625,804625,804625,804625,0,1
julc-java,coop-5,265739,265739,265739,265739,0,1
julc-java,coop-6,464076,464076,464076,464076,0,1
julc-java,coop-7,222792,222792,222792,222792,0,1
julc-java,crowdfunding-success-1,126900,126900,126900,126900,0,1
julc-java,crowdfunding-success-2,122497,122497,122497,122497,0,1
julc-java,crowdfunding-success-3,127010,127010,127010,127010,0,1
julc-java,currency-1,156735,156735,156735,156735,0,1
julc-java,escrow-redeem_1-1,215522,215522,215522,215522,0,1
julc-java,escrow-redeem_1-2,204728,204728,204728,204728,0,1
julc-java,escrow-redeem_2-1,242337,242337,242337,242337,0,1
julc-java,escrow-redeem_2-2,249937,249937,249937,249937,0,1
julc-java,escrow-redeem_2-3,239540,239540,239540,239540,0,1
julc-java,escrow-refund-1,92477,92477,92477,92477,0,1
julc-java,future-increase-margin-1,154886,154886,154886,154886,0,1
julc-java,future-increase-margin-2,319846,319846,319846,319846,0,1
julc-java,future-increase-margin-3,325573,325573,325573,325573,0,1
julc-java,future-increase-margin-4,323183,323183,323183,323183,0,1
julc-java,future-increase-margin-5,552201,552201,552201,552201,0,1
julc-java,future-pay-out-1,148526,148526,148526,148526,0,1
julc-java,future-pay-out-2,321327,321327,321327,321327,0,1
julc-java,future-pay-out-3,317279,317279,317279,317279,0,1
julc-java,future-pay-out-4,553124,553124,553124,553124,0,1
julc-java,future-settle-early-1,153270,153270,153270,153270,0,1
julc-java,future-settle-early-2,317385,317385,317385,317385,0,1
julc-java,future-settle-early-3,318499,318499,318499,318499,0,1
julc-java,future-settle-early-4,424581,424581,424581,424581,0,1
julc-java,game-sm-success_1-1,236968,236968,236968,236968,0,1
julc-java,game-sm-success_1-2,126912,126912,126912,126912,0,1
julc-java,game-sm-success_1-3,390682,390682,390682,390682,0,1
julc-java,game-sm-success_1-4,145153,145153,145153,145153,0,1
julc-java,game-sm-success_2-1,241438,241438,241438,241438,0,1
julc-java,game-sm-success_2-2,124831,124831,124831,124831,0,1
julc-java,game-sm-success_2-3,390215,390215,390215,390215,0,1
julc-java,game-sm-success_2-4,144695,144695,144695,144695,0,1
julc-java,game-sm-success_2-5,397085,397085,397085,397085,0,1
julc-java,game-sm-success_2-6,146438,146438,146438,146438,0,1
julc-java,guardrail-sorted-large,394690,394690,394690,394690,0,1
julc-java,guardrail-sorted-small,45639,45639,45639,45639,0,1
julc-java,guardrail-unsorted-large,372432,372432,372432,372432,0,1
julc-java,guardrail-unsorted-small,44584,44584,44584,44584,0,1
julc-java,multisig-sm-01,256372,256372,256372,256372,0,1
julc-java,multisig-sm-02,245904,245904,245904,245904,0,1
julc-java,multisig-sm-03,253359,253359,253359,253359,0,1
julc-java,multisig-sm-04,254750,254750,254750,254750,0,1
julc-java,multisig-sm-05,399258,399258,399258,399258,0,1
julc-java,multisig-sm-06,266749,266749,266749,266749,0,1
julc-java,multisig-sm-07,254746,254746,254746,254746,0,1
julc-java,multisig-sm-08,261788,261788,261788,261788,0,1
julc-java,multisig-sm-09,260262,260262,260262,260262,0,1
julc-java,multisig-sm-10,370913,370913,370913,370913,0,1
julc-java,ping-pong-1,203911,203911,203911,203911,0,1
julc-java,ping-pong-2,206398,206398,206398,206398,0,1
julc-java,ping-pong_2-1,125881,125881,125881,125881,0,1
julc-java,prism-1,106128,106128,106128,106128,0,1
julc-java,prism-2,247902,247902,247902,247902,0,1
julc-java,prism-3,235241,235241,235241,235241,0,1
julc-java,pubkey-1,90024,90024,90024,90024,0,1
julc-java,stablecoin_1-1,720369,720369,720369,720369,0,1
julc-java,stablecoin_1-2,123807,123807,123807,123807,0,1
julc-java,stablecoin_1-3,875338,875338,875338,875338,0,1
julc-java,stablecoin_1-4,134524,134524,134524,134524,0,1
julc-java,stablecoin_1-5,1148942,1148942,1148942,1148942,0,1
julc-java,stablecoin_1-6,164673,164673,164673,164673,0,1
julc-java,stablecoin_2-1,724482,724482,724482,724482,0,1
julc-java,stablecoin_2-2,127575,127575,127575,127575,0,1
julc-java,stablecoin_2-3,858392,858392,858392,858392,0,1
julc-java,stablecoin_2-4,134579,134579,134579,134579,0,1
julc-java,token-account-1,121703,121703,121703,121703,0,1
julc-java,token-account-2,200357,200357,200357,200357,0,1
julc-java,uniswap-1,244755,244755,244755,244755,0,1
julc-java,uniswap-2,147009,147009,147009,147009,0,1
julc-java,uniswap-3,1059080,1059080,1059080,1059080,0,1
julc-java,uniswap-4,195462,195462,195462,195462,0,1
julc-java,uniswap-5,677288,677288,677288,677288,0,1
julc-java,uniswap-6,205710,205710,205710,205710,0,1
julc-java,vesting-1,213056,213056,213056,213056,0,1
