vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
llvm-uplc-jit,auction_1-1,41437,39880,39133,292892,5722,120481
llvm-uplc-jit,auction_1-2,148688,136925,132331,486870,23468,33611
llvm-uplc-jit,auction_1-3,155358,139932,131192,584796,27472,32168
llvm-uplc-jit,auction_1-4,54770,53336,51073,213766,5906,91184
llvm-uplc-jit,auction_2-1,42035,40490,38243,272543,6107,118767
llvm-uplc-jit,auction_2-2,149752,138003,132354,453523,23163,33371
llvm-uplc-jit,auction_2-3,197736,184530,173716,803727,27653,25276
llvm-uplc-jit,auction_2-4,148979,137805,131037,455292,22738,33546
llvm-uplc-jit,auction_2-5,59739,53681,51970,345632,10639,83604
llvm-uplc-jit,coop-1,59159,56546,53333,308493,7340,84423
llvm-uplc-jit,coop-2,182064,173568,167720,563932,18977,27452
llvm-uplc-jit,coop-3,593205,573813,544644,1199743,66377,8428
llvm-uplc-jit,coop-4,235664,224470,211686,933080,26051,21210
llvm-uplc-jit,coop-5,99528,95953,92010,416173,10484,50203
llvm-uplc-jit,coop-6,169849,162274,155560,1076934,20316,29425
llvm-uplc-jit,coop-7,82143,79187,75114,344485,8608,60821
llvm-uplc-jit,crowdfunding-success-1,50597,48916,45904,270510,6637,98694
llvm-uplc-jit,crowdfunding-success-2,50161,48552,46123,230604,6397,99553
llvm-uplc-jit,crowdfunding-success-3,50707,48795,46285,285166,7350,98481
llvm-uplc-jit,currency-1,59475,54672,52416,290127,12452,83973
llvm-uplc-jit,escrow-redeem_1-1,85674,78577,74535,330759,14958,58313
llvm-uplc-jit,escrow-redeem_1-2,83474,79604,75499,649200,11779,59851
llvm-uplc-jit,escrow-redeem_2-1,98251,92686,88679,386778,14047,50854
llvm-uplc-jit,escrow-redeem_2-2,97268,91847,87142,535613,14002,51367
llvm-uplc-jit,escrow-redeem_2-3,102453,92038,86928,307821,19387,48769
llvm-uplc-jit,escrow-refund-1,39418,36502,33815,205394,7907,126634
llvm-uplc-jit,future-increase-margin-1,57301,54458,52221,288438,8815,87159
llvm-uplc-jit,future-increase-margin-2,127443,118567,112273,550446,19002,39212
llvm-uplc-jit,future-increase-margin-3,126981,118636,115217,552168,17946,39354
llvm-uplc-jit,future-increase-margin-4,119220,109307,103934,557558,21373,41913
