vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
uplc-turbo,auction_1-1,142646,141930,141073,146582,1496,100
uplc-turbo,auction_1-2,395885,395412,392924,410113,2437,100
uplc-turbo,auction_1-3,397629,395759,393377,427815,5005,100
uplc-turbo,auction_1-4,172788,171941,170779,178065,1903,100
uplc-turbo,auction_2-1,141530,141449,140342,143864,547,100
uplc-turbo,auction_2-2,398106,395905,393100,408390,4262,100
uplc-turbo,auction_2-3,473928,471627,468755,526668,7326,100
uplc-turbo,auction_2-4,397819,395572,393921,433104,5407,100
uplc-turbo,auction_2-5,170823,170199,169361,175348,1512,100
uplc-turbo,coop-1,151556,151274,150556,155414,958,100
uplc-turbo,coop-2,476479,474342,470494,493028,5170,100
uplc-turbo,coop-3,1009595,1008383,998699,1033275,5630,100
uplc-turbo,coop-4,501943,501529,498797,510815,1862,100
uplc-turbo,coop-5,278628,278436,276519,284566,1066,100
uplc-turbo,coop-6,417110,416872,413629,429250,2145,100
uplc-turbo,coop-7,212302,212093,210775,217416,980,100
uplc-turbo,crowdfunding-success-1,165972,165632,164792,183768,1970,100
uplc-turbo,crowdfunding-success-2,166065,165820,164999,170025,866,100
uplc-turbo,crowdfunding-success-3,167166,166556,165036,172095,1747,100
uplc-turbo,currency-1,173809,173674,172446,176849,934,100
uplc-turbo,escrow-redeem_1-1,239863,239003,236503,245692,2229,100
uplc-turbo,escrow-redeem_1-2,242324,240950,238087,255914,3730,100
uplc-turbo,escrow-redeem_2-1,265657,265447,262951,275134,1432,100
uplc-turbo,escrow-redeem_2-2,266164,265429,263059,273727,2241,100
uplc-turbo,escrow-redeem_2-3,267570,265606,263698,279571,3534,100
uplc-turbo,escrow-refund-1,154980,154022,152654,168838,2256,100
uplc-turbo,future-increase-margin-1,174735,173829,171606,188557,2580,100
uplc-turbo,future-increase-margin-2,327519,326317,323407,335595,3270,100
uplc-turbo,future-increase-margin-3,325767,325627,322629,330491,1367,100
uplc-turbo,future-increase-margin-4,365595,364781,361006,392007,4332,100
uplc-turbo,future-increase-margin-5,521745,515251,500222,617744,23944,100
uplc-turbo,future-pay-out-1,173272,173089,172035,176476,704,100
uplc-turbo,future-pay-out-2,326981,326033,323598,358235,3897,100
uplc-turbo,future-pay-out-3,326125,325814,323145,334035,1669,100
uplc-turbo,future-pay-out-4,506976,502745,498618,547192,8627,100
uplc-turbo,future-settle-early-1,181244,178824,172072,209699,8392,100
uplc-turbo,future-settle-early-2,328065,326362,322512,349168,4358,100
uplc-turbo,future-settle-early-3,326112,325964,323917,330841,1182,100
uplc-turbo,future-settle-early-4,423052,421569,418188,435205,4628,100
uplc-turbo,game-sm-success_1-1,298289,297170,292560,309255,3265,100
uplc-turbo,game-sm-success_1-2,148672,148366,145988,161141,2229,100
uplc-turbo,game-sm-success_1-3,406194,408151,397950,417234,4531,100
uplc-turbo,game-sm-success_1-4,168870,169550,165051,174065,2195,100
uplc-turbo,game-sm-success_2-1,298870,297599,294371,306706,3135,100
uplc-turbo,game-sm-success_2-2,147349,146855,145087,161318,1934,100
uplc-turbo,game-sm-success_2-3,400194,398847,394763,411232,4104,100
uplc-turbo,game-sm-success_2-4,165047,164665,163636,169827,1252,100
uplc-turbo,game-sm-success_2-5,402643,400363,395711,413972,5345,100
uplc-turbo,game-sm-success_2-6,167409,168435,163980,181623,2565,100
uplc-turbo,guardrail-sorted-large,301757,300390,296017,310274,4425,100
uplc-turbo,guardrail-sorted-small,66456,66065,65502,74528,1106,100
